"seqn","fsd010","fsd160","fsd170n","fsd180","fsd190","fsd200","fsd655","fsd660c","fsd665","fsq650","fsd660m","fsd670","hhfdsec","adfdsec","chfdsec"
1,1,1,1,2,NA,NA,1,1,5,NA,NA,NA,1,1,1
2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
4,2,1,NA,NA,NA,NA,1,1,4,NA,NA,NA,4,4,3
5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
9,1,1,4,1,12,1,NA,NA,NA,NA,NA,NA,2,2,2
10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
12,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
13,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
14,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
15,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
16,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
17,1,1,3,1,6,1,1,1,5,NA,NA,NA,1,1,1
18,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
19,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
20,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA
21,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
22,1,1,5,1,12,1,NA,NA,NA,NA,NA,NA,3,3,1
23,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
25,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
26,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
27,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
