"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq244","ind247"
54548,1,1,2,2,2,2,2,2,2,3,0.3,1,2,1
54549,1,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA
54550,1,2,2,2,2,2,2,1,1,6,1.81,2,NA,NA
54551,1,2,2,2,2,2,2,2,2,6,1.98,3,NA,NA
54552,1,2,2,2,2,2,2,2,2,7,1.9,3,NA,NA
54553,1,2,2,2,1,2,2,1,2,10,4.94,3,NA,NA
54554,2,1,1,2,2,2,2,1,2,6,2.31,3,NA,NA
54555,1,2,2,2,2,2,2,2,2,4,1.66,2,NA,NA
54556,1,1,2,2,2,2,2,2,2,5,0.93,1,2,1
54557,1,2,2,2,2,2,1,2,1,3,0.81,1,2,1
54558,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
54559,1,2,2,2,2,2,2,2,2,10,1.98,3,NA,NA
54560,1,2,1,2,1,2,2,2,2,6,2.12,3,NA,NA
54561,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA
54562,1,2,2,2,2,2,1,2,2,7,1.08,1,2,1
54563,2,2,1,2,2,2,2,1,2,2,0.61,1,1,NA
54564,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
54565,1,2,2,2,1,2,2,1,1,12,4.19,3,NA,NA
54566,2,2,1,1,2,2,2,2,2,5,1.56,2,2,1
54567,1,2,2,2,2,2,2,2,1,3,0.54,1,2,1
54568,1,2,2,2,2,2,1,2,2,4,0.89,1,2,1
54569,1,2,2,2,2,2,2,2,1,4,1.66,2,2,1
54570,2,2,1,1,1,2,2,2,1,6,1.42,2,2,1
54571,1,2,2,2,2,1,2,2,1,5,0.88,1,2,1
54572,1,2,2,2,2,2,2,2,2,2,0.4,1,2,1
54573,1,2,2,2,2,2,2,2,2,4,0.82,1,2,1
54574,1,2,1,2,1,2,2,1,2,12,5,3,NA,NA
54575,1,2,2,2,2,2,2,2,2,5,2.22,3,NA,NA
54576,1,2,2,2,2,2,2,1,1,9,2.42,3,NA,NA
54577,1,1,2,2,2,2,2,2,2,11,5,3,NA,NA
54578,2,2,2,1,2,2,2,2,2,5,1.11,1,2,1
54579,1,2,2,2,2,2,2,2,2,5,0.98,1,2,1
54580,2,2,1,2,1,2,2,2,1,7,3.55,3,NA,NA
54581,1,1,2,2,2,2,2,2,2,3,0.3,1,2,1
54582,1,2,2,2,2,2,2,2,2,6,1.31,2,2,1
54583,2,1,1,2,2,2,2,1,2,6,1.98,3,NA,NA
54584,1,2,1,2,2,1,2,2,2,7,1.4,2,2,77
54585,2,2,2,1,2,2,2,2,2,2,0.55,1,2,1
54586,1,2,2,2,2,2,2,2,2,8,2.09,3,NA,NA
54587,1,2,2,2,2,2,2,1,2,6,2.77,3,NA,NA
54588,1,1,2,2,2,2,2,2,2,7,1.9,3,NA,NA
54589,2,2,1,2,2,2,2,2,2,5,1.72,2,1,NA
54590,1,2,2,2,2,2,2,2,2,10,3.27,3,NA,NA
54591,1,2,2,2,2,2,2,1,2,12,4.06,3,NA,NA
54592,1,2,2,2,2,1,2,2,2,4,0.53,1,2,1
54593,1,1,2,2,2,2,2,1,2,8,2.18,3,NA,NA
54594,1,1,2,2,1,2,2,1,1,12,5,3,NA,NA
54595,2,2,1,1,2,2,2,2,2,6,2.06,3,NA,NA
54596,1,2,2,2,2,2,2,2,2,4,0.98,1,NA,NA
54597,1,2,2,2,2,2,2,2,2,5,0.81,1,2,1
54598,1,2,2,2,2,2,2,2,2,3,1.22,1,2,1
54599,2,2,2,2,2,1,2,2,2,3,0.89,1,2,1
54600,2,1,2,2,2,2,2,2,2,6,3.1,3,NA,NA
54601,1,2,2,2,2,2,2,2,2,4,0.87,1,2,1
54602,1,2,2,2,2,2,2,2,2,9,2.33,3,NA,NA
54603,1,2,2,2,2,2,2,2,2,3,0.65,1,2,1
54604,1,2,2,2,2,2,2,2,2,4,1.05,1,2,1
54605,2,1,2,2,2,1,1,2,2,2,0.19,1,2,1
54606,1,2,2,2,2,2,2,2,1,7,1.4,2,2,1
54607,1,2,1,2,2,2,2,2,2,7,1.26,1,2,3
54608,1,2,2,2,2,2,2,2,1,6,0.98,1,2,1
54609,1,2,2,2,2,2,2,2,1,5,0.55,1,2,1
54610,2,2,1,9,2,2,2,1,2,2,0.66,1,2,1
54611,2,1,2,2,2,2,2,2,2,12,5,3,NA,NA
54612,2,1,2,2,2,2,2,2,1,2,0.86,1,2,1
54613,1,2,2,2,2,2,2,2,2,4,1.61,2,NA,NA
54614,1,1,2,2,2,2,2,2,2,2,0.19,1,2,1
54615,1,2,2,2,2,2,2,2,2,2,0.55,1,2,1
54616,2,2,1,2,2,2,2,2,2,8,3.35,3,NA,NA
54617,1,1,2,2,2,2,2,2,2,10,3.93,3,NA,NA
54618,1,1,2,2,2,2,2,1,2,12,5,3,NA,NA
54619,2,2,2,2,2,2,1,2,1,3,0.79,1,2,1
54620,2,2,1,2,2,2,2,2,2,3,0.82,1,1,NA
54621,1,1,2,2,2,2,2,2,2,11,3.54,3,NA,NA
54622,1,2,1,2,2,2,2,1,2,77,NA,2,1,NA
54623,2,2,1,2,1,2,2,2,2,8,4.43,3,NA,NA
54624,1,1,2,2,2,2,2,2,1,12,5,3,NA,NA
54625,1,2,2,2,2,2,2,2,2,10,2.16,3,NA,NA
54626,1,2,2,2,2,2,2,2,2,3,0.79,1,2,2
54627,1,2,2,2,2,2,2,2,2,5,1.31,2,2,1
54628,2,2,1,2,1,2,2,1,2,8,3.71,3,NA,NA
54629,2,1,1,2,2,2,2,1,2,3,1,1,1,NA
54630,1,2,2,2,2,2,2,2,2,10,1.77,2,2,5
54631,1,2,1,2,2,1,2,2,2,8,2.62,3,NA,NA
54632,1,2,2,2,2,2,2,1,2,2,0.66,1,1,NA
54633,2,2,1,2,1,2,2,1,2,6,2.22,3,NA,NA
54634,2,2,1,2,2,2,2,2,2,4,1.15,1,2,99
54635,1,2,2,2,2,2,1,2,1,10,1.42,2,2,1
54636,1,1,2,2,2,2,2,1,2,6,1.21,1,NA,NA
54637,2,2,1,2,2,2,2,2,2,4,1.24,1,2,1
54638,1,1,2,2,2,2,2,2,1,5,1.88,3,NA,NA
54639,1,2,2,2,2,2,2,1,1,6,1.06,1,2,1
54640,1,2,2,2,2,2,2,2,2,3,0.49,1,2,1
54641,1,2,2,2,2,2,2,2,2,99,NA,2,2,1
54642,1,2,1,2,2,2,2,2,2,2,0.31,1,2,1
54643,1,2,2,2,2,2,2,2,2,9,2.33,3,NA,NA
