"seqn","cbd010","cbq020","cbq030","cbq040","cbq050","cbq060","cbd070","cbd090","cbd110","cbd120","cbd130","cbq140","cbd150","cbd160","cbd170","cbd180","cbq190"
51695,1,1,1,1,5,3,500,100,100,200,0,3,2,3,90,3,3
51696,2,1,3,5,2,4,385,0,0,42,0,2,15,3,60,666,NA
51697,2,3,1,4,3,1,200,0,60,200,150,3,10,1,60,1,1
51698,2,1,1,3,5,5,642,171,30,111,0,2,30,7,120,7,7
51699,2,1,1,3,5,1,200,0,0,50,0,2,20,7,180,3,3
51700,2,1,1,1,1,3,428,85,85,0,17,3,30,7,60,7,7
51701,2,1,3,1,5,3,600,0,20,40,0,2,20,7,120,7,7
51702,2,1,1,1,1,1,600,100,100,0,50,3,20,7,120,7,7
51703,2,1,2,3,5,2,535,40,0,0,0,1,20,7,90,7,7
51704,2,1,1,5,5,2,350,0,0,0,0,2,10,7,60,7,7
51705,2,1,1,1,5,3,400,0,0,200,0,1,15,7,60,7,7
51706,1,1,1,1,5,1,500,0,100,428,40,3,2,5,120,3,3
51707,2,1,1,1,5,5,200,0,42,40,0,4,30,7,30,0,NA
51708,1,3,1,2,5,1,900,0,0,70,0,2,15,6,180,7,6
51709,2,2,2,3,5,4,500,0,0,200,0,2,15,3,60,4,2
51710,2,3,4,3,5,4,280,30,10,170,25,2,10,3,60,3,3
51711,2,1,1,5,5,3,300,100,0,0,0,2,5,7,60,0,NA
51712,2,2,2,2,5,3,999999,999999,0,30,0,5,10,7,60,21,20
51713,2,1,1,1,5,1,428,50,0,125,0,2,15,7,60,7,7
51714,2,1,1,4,5,3,250,0,0,300,0,3,2,4,60,666,NA
51715,2,1,1,4,1,1,900,325,0,642,0,3,13,7,90,7,7
51716,2,1,1,2,5,2,500,0,100,100,0,3,10,2,60,2,2
51717,2,1,2,3,1,2,600,0,0,200,75,3,10,7,90,7,7
51718,2,1,1,1,5,4,800,0,0,0,0,2,10,7,60,3,3
51719,2,1,3,1,1,2,750,0,350,1000,125,2,12,3,60,2,2
51720,2,1,1,3,1,3,514,128,0,0,0,2,20,7,90,7,7
51721,2,1,3,1,3,1,120,0,40,0,0,2,15,7,60,7,7
51722,1,1,1,1,1,1,771,107,0,107,42,2,20,7,60,2,2
51723,2,1,1,1,5,4,500,0,0,214,50,2,2,7,60,7,7
51724,1,1,1,3,5,5,535,0,428,30,40,2,5,7,30,7,7
51725,2,1,1,2,5,5,342,0,0,120,10,2,5,4,60,10,8
51726,2,2,3,3,5,2,428,0,150,150,75,2,15,3,60,3,3
51727,1,1,3,3,5,2,367,0,0,20,0,3,15,7,120,7,7
51728,1,1,1,1,5,1,400,0,0,10,0,2,10,7,60,666,NA
51729,2,1,1,2,5,2,1000,0,0,110,0,2,10,7,120,5,5
51730,2,1,1,5,3,5,150,0,0,0,0,1,10,7,60,7,7
51731,2,2,2,3,1,3,150,0,0,50,50,2,10,5,120,5,5
51732,2,2,1,1,5,1,200,0,0,150,20,3,20,6,60,7,6
51733,NA,3,4,3,5,2,128,0,0,128,171,1,10,5,120,666,NA
51734,1,1,1,1,5,1,500,0,0,300,0,2,15,6,60,5,5
51735,1,1,1,1,5,3,180,30,200,100,0,1,5,7,60,7,7
51736,2,3,1,3,5,5,214,0,214,85,0,1,15,6,120,6,6
51737,2,4,3,5,5,5,150,0,0,100,0,3,5,0,60,666,NA
51738,2,1,1,1,5,2,642,244,78,0,0,1,15,7,120,7,7
51739,2,1,2,5,5,4,642,0,0,40,0,2,10,7,120,7,7
51740,2,1,1,3,5,1,200,0,0,0,0,2,10,7,60,7,7
51741,2,2,2,2,4,1,200,0,10,85,0,4,3,6,60,0,NA
51742,2,1,1,1,1,1,428,107,0,257,0,2,25,7,60,10,10
51743,2,2,3,3,5,3,500,100,125,150,0,3,5,0,NA,4,3
51744,2,2,3,3,2,4,500,40,250,400,0,1,10,7,60,14,2
51745,2,2,2,3,1,2,400,100,100,100,50,2,10,4,60,1,1
51746,2,2,2,1,5,2,200,50,0,20,20,4,10,5,60,666,NA
51747,2,1,3,3,5,3,250,0,0,75,0,2,10,7,60,7,7
51748,NA,1,1,4,5,5,428,0,0,20,0,2,10,7,10,666,NA
51749,2,1,1,1,5,1,428,0,0,0,20,1,5,7,60,666,NA
51750,2,1,1,3,5,3,200,0,150,400,0,2,20,3,60,7,7
51751,1,1,2,3,5,4,200,0,100,150,50,3,5,7,45,7,7
51752,NA,1,1,1,5,1,214,0,85,0,0,1,10,7,60,666,NA
51753,2,1,1,1,3,1,600,0,107,125,85,2,10,6,120,18,17
51754,2,1,1,1,5,1,400,0,0,175,0,2,3,5,90,7,5
