"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd391","ocd392","ocd395","ocq510","ocq520","ocq530","ocq540","ocq550","ocq560","ocq570","ocq580"
51624,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,19,120,2,NA,2,NA,1,1,1,1
51626,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51628,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,5,21,60,1,38,1,38,1,38,1,38
51629,1,40,NA,5,22,1,1,3,2,NA,NA,1,4,19,48,1,4,1,0,1,4,1,4
51630,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,16,17,108,2,NA,2,NA,2,NA,2,NA
51633,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,240,NA,NA,NA,NA,NA,NA,NA,NA
51635,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,21,348,NA,NA,NA,NA,NA,NA,NA,NA
51637,1,30,2,16,17,1,1,216,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
51640,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,17,3,1,0,2,NA,1,0,1,0
51643,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,18,16,108,2,NA,2,NA,2,NA,2,NA
51645,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,20,300,2,NA,2,NA,1,24,2,NA
51647,2,NA,1,6,17,1,1,132,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
51648,1,35,NA,14,14,1,1,24,2,NA,NA,2,NA,NA,NA,1,1,2,NA,2,NA,2,NA
51651,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,10,17,2,1,1,2,NA,2,NA,2,NA
51653,1,40,NA,14,17,1,1,120,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
51654,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,16,420,1,10,1,10,1,10,2,NA
51655,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,14,36,1,0,1,0,2,NA,1,3
51656,1,45,NA,6,1,1,1,432,2,NA,NA,2,NA,NA,NA,1,10,2,NA,2,NA,1,20
51657,1,40,NA,14,20,1,1,300,2,NA,NA,2,NA,NA,NA,1,3,2,NA,1,3,1,0
51658,1,40,NA,8,16,1,1,72,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
51660,1,72,NA,8,17,1,4,12,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
51661,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51662,1,40,NA,17,21,1,1,120,1,1,NA,2,NA,NA,NA,2,NA,2,NA,1,7,2,NA
51663,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51664,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,10,264,2,NA,1,12,2,NA,2,NA
51666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,17,360,2,NA,2,NA,2,NA,2,NA
51667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,19,360,2,NA,2,NA,2,NA,2,NA
51668,1,28,2,16,15,5,5,48,2,NA,NA,1,18,13,24,2,NA,2,NA,2,NA,2,NA
51669,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,21,8,2,NA,2,NA,2,NA,1,0
51670,1,40,NA,21,12,4,1,2,2,NA,NA,1,8,16,36,1,1,2,NA,2,NA,1,1
51672,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51673,1,20,2,18,13,1,3,24,1,1,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
51674,1,15,2,15,8,1,1,5,2,NA,NA,1,5,17,60,2,NA,2,NA,2,NA,2,NA
51675,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
