"seqn","fsd032a","fsd032b","fsd032c","fsd041","fsd052","fsd061","fsd071","fsd081","fsd092","fsd102","fsd032d","fsd032e","fsd032f","fsd111","fsd122","fsd132","fsd141","fsd146","fsdhh","fsdad","fsdch","fsd151","fsd401","fsd421","fsd431","fsd411","fsd440","fsd451","fsq165","fsq171","fsd225","fsq235","fsq162","fsd650zc","fsd660zc","fsd675","fsd680","fsd670zc","fsq690","fsq695","fsd650zw","fsd660zw","fsd670zw"
54149,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,1,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54150,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,27,456,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54151,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54152,1,1,1,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,1,3,3,3,3,2,NA,1,1,9,200,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54153,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54154,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54155,2,2,2,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,2,NA,NA,NA,1,1,1,1,NA,1,1,3,NA,NA,NA
54156,2,3,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,NA,NA,2,NA,NA,NA,1,1,1,1,NA,3,2,NA,NA,NA,NA
54157,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,17,266,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
54158,2,2,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54159,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54160,1,1,3,2,NA,1,1,1,2,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,2,NA,1,1,6,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54161,1,1,2,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,1,3,3,3,3,2,NA,1,1,12,367,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54162,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54163,2,2,2,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,1,1,14,78,2,NA,NA,1,1,60,1,2,NA,NA,NA
54164,2,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,NA,2,2,3,3,3,2,3,3,3,3,2,NA,1,1,29,668,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54165,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,8,612,1,1,1,1,1,36,1,3,NA,NA,NA
54166,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54167,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,2,2,0,2,NA,NA,NA,NA
54168,1,2,2,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,1,3,2,3,2,2,2,1,1,219,146,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54169,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54170,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54171,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54172,1,2,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,2,NA,1,1,13,526,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54173,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54174,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54175,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54176,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54177,2,2,2,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,1,1,14,259,2,NA,NA,1,1,60,1,2,NA,NA,NA
54178,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,2,12,1,3,NA,NA,NA
54179,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,1,1,36,1,2,NA,NA,NA
54180,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,2,NA,0,1,8,NA,NA,NA
54181,2,2,2,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,1,3,3,3,3,NA,NA,1,1,10,320,1,1,1,1,1,35,1,3,NA,NA,NA
54182,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54183,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54184,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,1,1,1,14,1,4,NA,NA,NA
54185,1,2,3,1,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,1,2,3,3,3,2,2,1,1,31,68,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54186,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54187,3,2,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,NA,NA,1,1,23,367,2,2,NA,1,1,24,1,1,NA,NA,NA
54188,2,2,2,2,NA,2,2,2,NA,NA,2,3,3,2,2,NA,2,2,3,3,2,2,3,3,3,3,NA,NA,1,1,13,426,1,NA,NA,1,1,60,1,8,NA,NA,NA
54189,1,1,1,1,2,1,1,2,2,NA,1,1,1,2,2,NA,1,2,4,4,3,1,3,3,3,3,2,NA,1,1,9,324,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54190,2,2,3,1,2,1,2,2,2,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,2,NA,NA,NA,1,1,1,1,1,12,1,5,NA,NA,NA
54191,1,1,3,1,3,1,1,2,1,3,1,3,3,2,2,NA,2,2,3,4,2,2,3,3,3,3,2,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54192,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54193,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54194,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54195,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,24,2,NA,NA,NA,NA
54196,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54197,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54198,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,1,1,18,2,NA,NA,NA,NA
54199,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54200,2,2,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54201,3,3,3,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,NA,2,2,2,1,2,2,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54202,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,2,0,2,NA,NA,NA,NA
54203,1,1,1,2,NA,2,2,2,NA,NA,1,3,3,2,2,NA,2,2,3,3,2,2,3,3,3,3,NA,NA,1,1,22,400,1,NA,NA,1,1,60,1,2,NA,NA,NA
54204,1,1,2,1,1,2,2,2,2,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,1,3,3,3,3,NA,NA,2,NA,NA,NA,1,1,1,1,1,15,1,3,NA,NA,NA
54205,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54206,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54207,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54208,3,2,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54209,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,36
54210,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54211,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54212,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,15,480,1,1,1,1,1,24,1,2,NA,NA,NA
54213,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54214,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,2,NA,2,2,0,2,NA,NA,NA,NA
54215,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54216,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,7,320,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54217,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,2,2,0,2,NA,NA,NA,NA
54218,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,10,788,2,NA,NA,1,1,60,1,1,NA,NA,NA
54219,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54220,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54221,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54222,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54223,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54224,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54225,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54226,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54227,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54228,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,122,526,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54229,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,8,463,2,1,2,1,1,12,1,2,NA,NA,NA
54230,1,2,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,NA,NA,2,NA,NA,NA,1,1,2,1,1,60,1,1,NA,NA,NA
54231,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,2,0,2,NA,NA,NA,NA
54232,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54233,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,2,2,0,2,NA,NA,NA,NA
54234,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54235,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,2,0,1,5,NA,NA,NA
54236,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54237,3,2,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54238,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54239,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54240,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,77777,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54241,2,2,2,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,2,2,2,2,9,1,1,1,28,380,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54242,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,1,66,298,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54243,2,2,3,1,2,1,2,1,2,NA,2,2,3,2,2,NA,2,2,4,4,3,1,3,3,3,3,NA,NA,1,1,26,586,1,1,1,1,1,16,1,2,NA,NA,NA
54244,2,3,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,1,3,3,3,3,NA,NA,2,NA,NA,NA,2,NA,NA,1,1,36,1,3,NA,NA,NA
54245,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54246,1,1,1,1,1,1,1,2,2,NA,1,1,1,1,1,1,1,2,4,4,4,1,3,3,2,2,2,2,1,1,16,200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0,2,NA,NA,NA,NA
54248,2,2,2,1,2,1,1,1,2,NA,2,2,2,1,2,NA,1,2,4,4,4,1,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54249,2,1,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,NA,NA,2,NA,NA,NA,1,2,NA,1,2,8,1,8,NA,NA,NA
54250,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,16,500,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
54251,2,2,2,2,NA,2,2,2,NA,NA,2,7,7,2,2,NA,2,2,3,3,2,2,3,3,3,3,2,NA,1,1,26,600,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54252,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,2,0,2,NA,NA,NA,NA
54253,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54254,2,3,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54255,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54256,1,1,1,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,2,2,2,3,3,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54257,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,2,3,3,3,3,2,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54258,2,2,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54259,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54260,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54261,2,3,3,1,2,2,2,2,2,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,2,NA,NA,NA,1,2,NA,1,1,24,1,4,NA,NA,NA
54262,1,2,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,1,3,3,3,3,2,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54263,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54264,2,2,2,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,1,1,13,200,2,NA,NA,1,1,48,1,99,NA,NA,NA
54265,2,2,2,1,1,1,1,2,2,NA,2,2,3,2,2,NA,2,2,4,4,3,2,2,2,3,3,2,2,1,1,9,320,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54266,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2,380,1,1,1,1,1,48,1,6,NA,NA,NA
54267,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
