"seqn","hod010","hod030","hod040","hod050","hod060","hoq065","hoq070","hoq080","hod140","hod150","hod160","hod170","hod180","hod190","hod210","hod220"
9966,2,NA,6,5,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9967,2,NA,99,8,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9968,2,NA,99,6,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9969,2,NA,6,8,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9970,2,NA,1,6,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
9971,4,3,99,6,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9972,2,NA,5,6,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9973,4,4,99,3,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9974,5,NA,3,5,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9975,4,7,1,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9976,4,3,99,4,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9977,4,5,1,4,2,2,1,2,2,NA,2,NA,NA,2,NA,2
9978,2,NA,2,8,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9979,2,NA,3,5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9980,4,7,2,3,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9981,2,NA,1,6,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9982,2,NA,3,5,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9983,4,4,77,6,1,2,1,2,1,9,2,NA,NA,2,NA,9
9984,2,NA,3,7,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9985,3,NA,6,9,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9986,2,NA,99,6,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9987,4,4,1,7,1,2,1,2,1,1,2,NA,NA,2,NA,2
9988,2,NA,5,4,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9989,1,NA,3,5,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
9990,4,5,3,5,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9991,4,3,99,4,2,2,1,2,2,NA,2,NA,NA,2,NA,2
9992,2,NA,1,8,4,1,1,2,1,2,2,NA,NA,2,NA,2
9993,2,NA,4,5,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9994,3,NA,99,3,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9995,2,NA,1,6,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9996,3,NA,99,8,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9997,2,NA,99,6,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9998,4,6,99,4,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
9999,4,5,99,4,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10000,2,NA,2,5,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
10001,1,NA,99,6,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
10002,2,NA,2,6,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10003,4,6,99,3,99,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
