"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
101752,1,2,2,2,2,2,2,2,2,99,NA,9,2,1,4
101753,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
101754,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
101755,2,2,1,2,2,2,2,1,2,8,2.96,3,1,NA,1
101756,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
101757,1,1,1,2,2,2,2,2,2,12,4.17,3,1,NA,1
101758,2,2,2,2,2,2,2,2,2,77,NA,7,7,NA,1
101759,2,2,1,1,1,2,2,2,2,6,0.79,1,2,1,1
101760,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
101761,1,2,2,2,2,2,2,2,2,7,1.73,2,2,1,1
101762,1,2,1,2,2,2,2,2,2,99,NA,3,1,NA,1
101763,2,2,1,2,2,2,1,2,2,6,1.63,2,2,1,1
101764,1,2,1,2,1,1,2,2,2,12,5,3,2,2,1
101765,1,2,2,2,2,2,2,2,2,9,4.98,3,2,1,1
101766,1,2,2,2,2,2,2,2,2,10,3.23,3,1,NA,1
101767,1,1,2,2,2,2,2,1,2,10,2.45,3,1,NA,1
101768,1,2,2,2,2,2,2,1,2,99,NA,3,1,NA,1
101769,1,2,2,2,2,2,2,2,2,11,3.9,3,1,NA,1
101770,2,2,1,2,1,2,2,2,2,8,2.92,3,2,5,1
101771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101772,1,2,1,2,1,2,2,2,2,9,3.47,3,2,3,1
101773,1,2,2,2,1,2,2,1,2,99,NA,1,9,NA,1
101774,1,2,2,2,2,2,1,2,2,6,1.32,2,2,1,1
101775,2,2,2,2,2,2,2,2,1,3,0.8,1,2,2,1
101776,1,2,2,2,2,2,2,2,2,8,1.95,3,2,1,1
101777,1,2,1,2,1,2,2,2,2,8,2.92,3,2,1,1
101778,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
101779,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
101780,1,1,2,2,2,2,2,1,2,1,0,1,1,NA,1
101781,1,2,2,2,2,2,2,2,2,5,1.98,3,2,1,1
101782,2,2,2,2,2,2,2,2,2,77,NA,7,7,NA,6
101783,2,2,1,1,2,2,2,2,2,7,2.33,3,2,1,1
101784,1,2,2,2,2,2,2,2,2,11,4.41,3,2,3,1
101785,2,2,1,2,1,2,2,2,2,5,1.99,3,1,NA,1
101786,1,2,1,2,2,1,2,2,2,7,1.76,2,2,1,1
101787,1,2,2,2,2,2,2,2,2,8,2.77,3,2,1,1
101788,1,2,2,2,2,2,2,2,1,7,1.25,1,2,1,1
101789,1,1,2,2,2,2,2,2,1,3,0.36,1,2,1,1
101790,1,2,2,2,2,2,2,2,2,5,1.04,1,2,1,2
101791,1,2,2,2,2,2,2,2,2,11,4.62,3,1,NA,1
101792,1,2,2,2,2,1,2,2,2,9,1.63,2,2,1,1
101793,1,2,2,2,2,2,2,1,2,99,NA,3,1,NA,1
101794,1,1,2,2,2,1,1,2,2,1,0.11,1,2,1,1
101795,2,2,2,1,2,2,2,2,2,5,0.81,1,2,1,1
101796,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
101797,1,2,2,2,2,2,2,2,1,7,1.43,2,2,1,1
101798,1,1,2,2,2,2,2,2,2,6,1.44,2,2,1,1
101799,1,2,2,2,2,2,2,1,2,11,5,3,1,NA,1
101800,1,2,2,2,2,2,2,2,2,3,0.67,1,2,1,1
101801,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
101802,1,1,2,2,1,2,2,1,2,9,5,3,1,NA,1
101803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101804,1,2,1,2,2,2,2,2,2,6,0.72,1,2,1,1
101805,2,2,1,1,1,2,2,2,1,11,5,3,1,NA,1
101806,1,2,2,2,2,2,2,2,1,3,0.57,1,2,1,1
101807,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
101808,1,1,2,2,2,2,2,2,2,6,0.78,1,2,1,1
101809,1,2,1,2,2,2,2,1,2,10,3.94,3,1,NA,1
101810,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
101811,9,2,1,2,1,2,2,2,2,99,NA,9,9,NA,6
101812,2,2,1,2,2,1,2,2,2,2,0.35,1,2,1,1
101813,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
101814,1,2,2,2,2,2,2,1,2,11,4.8,3,2,3,1
101815,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
101816,2,2,2,1,2,1,2,2,1,77,NA,1,2,1,1
101817,1,2,1,2,2,2,2,2,2,6,2.49,3,2,5,1
101818,1,2,2,2,2,2,2,2,1,6,0.85,1,2,1,1
101819,1,2,2,2,2,2,2,2,2,7,1.88,3,2,1,1
101820,2,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,7
101821,1,2,2,2,2,2,2,2,2,10,4.43,3,2,1,1
101822,1,2,1,2,2,2,2,2,2,99,NA,3,1,NA,1
101823,1,2,1,2,2,2,2,2,2,5,1.46,2,2,1,1
101824,1,2,1,2,2,1,2,2,1,6,0.82,1,2,1,1
101825,1,2,2,2,2,2,2,2,1,4,0.47,1,2,1,1
101826,1,2,2,2,2,2,2,2,1,6,0.88,1,2,1,1
101827,1,2,2,2,2,2,2,2,2,12,2.91,3,1,NA,1
101828,1,1,2,2,2,2,2,2,2,8,1.53,2,1,NA,1
101829,1,2,1,1,2,2,2,2,1,11,5,3,1,NA,1
101830,1,2,2,2,2,2,2,2,1,8,2.41,3,2,1,1
101831,1,1,2,2,2,2,2,1,2,11,3.35,3,1,NA,1
101832,1,2,1,2,1,2,2,2,1,7,2.59,3,2,1,1
101833,1,1,2,2,2,2,2,1,2,1,0,1,2,1,1
101834,2,2,1,2,1,2,2,2,2,8,3.98,3,1,NA,1
101835,1,1,2,2,2,1,2,2,2,3,0.71,1,2,1,1
101836,1,2,2,2,2,2,2,2,2,7,1.1,1,2,1,1
101837,1,2,2,2,2,2,2,2,1,8,2.18,3,2,1,3
101838,1,1,1,2,2,1,2,2,2,7,1.71,2,2,1,1
101839,2,2,1,2,1,2,2,2,2,7,3.16,3,1,NA,1
101840,1,2,1,2,1,2,2,2,2,7,2.12,3,2,1,1
101841,1,1,2,2,2,2,2,2,2,12,5,3,1,NA,1
101842,1,2,2,2,2,2,2,2,2,6,1.13,1,1,NA,1
101843,2,2,1,2,2,2,2,2,2,6,1.58,2,2,1,1
101844,1,2,2,2,2,2,2,2,2,4,1.11,1,2,1,1
101845,2,2,1,2,2,2,2,2,2,6,1.34,2,2,1,1
101846,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
101847,1,2,2,2,2,2,2,1,2,7,1.31,2,2,1,1
