"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
83820,1,1,1,2,1,2,2,1,2,7,3.57,3,1,NA,1
83821,2,2,1,2,2,2,2,2,2,3,1.03,1,2,1,3
83822,1,2,2,2,2,2,2,2,2,2,0.3,1,2,1,1
83823,2,2,2,2,2,2,1,2,2,3,0.42,1,2,1,3
83824,2,2,2,2,2,2,2,2,2,1,0,1,2,3,4
83825,1,2,2,2,2,2,2,2,1,8,1.47,2,2,1,1
83826,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
83827,1,2,2,2,1,2,2,1,2,9,3.77,3,1,NA,1
83828,1,2,2,2,2,2,2,2,2,4,0.49,1,2,1,1
83829,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
83830,1,2,2,2,2,2,2,2,2,7,1.78,2,2,1,1
83831,2,2,1,2,2,2,2,2,2,6,0.6,1,2,1,1
83832,1,2,2,2,2,2,2,2,2,11,2.96,3,2,1,1
83833,1,2,2,2,2,2,2,2,2,7,1.58,2,2,1,1
83834,2,2,2,2,2,1,2,2,2,3,1.01,1,2,1,1
83835,2,2,2,2,2,1,2,2,2,2,0.36,1,2,1,1
83836,1,2,2,2,2,2,2,2,2,7,1.11,1,2,1,1
83837,1,2,2,2,2,2,2,2,2,9,1.63,2,2,1,2
83838,1,1,2,2,2,2,1,2,2,5,0.74,1,2,1,1
83839,1,1,2,2,2,2,2,1,2,11,3.46,3,1,NA,1
83840,1,2,2,2,2,2,2,2,2,6,1.31,2,2,1,1
83841,1,1,2,2,2,2,2,1,2,11,3.46,3,1,NA,1
83842,1,2,2,2,2,2,2,1,2,7,2.08,3,1,NA,1
83843,2,2,1,2,2,2,2,1,2,5,1.43,2,1,NA,1
83844,1,2,2,2,2,2,2,2,2,11,2.96,3,2,1,1
83845,1,1,2,2,2,1,1,1,2,7,1.05,1,2,1,1
83846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83847,1,2,2,2,2,2,2,1,2,99,NA,3,1,NA,1
83848,1,2,2,2,2,2,2,2,2,12,5,3,2,1,1
83849,1,2,1,1,2,2,2,2,2,6,1.58,2,1,NA,1
83850,1,2,2,2,2,2,2,2,1,99,NA,3,9,NA,1
83851,1,2,2,2,2,2,2,2,1,8,2.23,3,2,1,1
83852,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
83853,1,1,1,2,2,2,2,2,2,12,5,3,1,NA,1
83854,1,1,2,2,2,2,2,2,2,11,3.46,3,2,4,1
83855,2,2,1,2,1,2,2,1,2,8,1.98,3,2,4,1
83856,1,2,2,2,2,2,2,2,2,7,1.53,2,2,1,1
83857,1,1,2,2,2,2,2,2,2,11,5,3,1,NA,1
83858,1,2,1,2,2,2,1,2,2,99,NA,9,2,1,1
83859,2,2,1,2,2,1,2,2,2,3,0.32,1,2,1,1
83860,1,2,2,2,2,2,2,2,1,12,4.44,3,2,3,1
83861,1,2,2,2,2,2,2,1,2,7,3.54,3,1,NA,1
83862,1,2,2,1,2,2,2,2,1,99,NA,9,2,99,2
83863,1,2,2,2,2,2,2,2,2,10,2.53,3,2,1,1
83864,1,1,2,2,2,2,1,2,1,2,0.45,1,2,1,7
83865,2,2,1,1,1,2,1,2,2,8,1.98,3,2,1,1
83866,1,2,2,2,1,2,2,1,2,11,4.18,3,9,NA,1
83867,1,1,2,2,2,2,2,2,2,9,2.57,3,2,1,2
83868,1,2,2,2,2,2,2,2,2,12,4.16,3,1,NA,1
83869,2,2,1,2,1,2,2,2,1,4,1.35,2,2,1,1
83870,1,2,2,2,2,2,2,2,2,8,1.69,2,2,1,1
83871,1,2,2,2,2,2,1,2,2,5,0.65,1,2,1,1
83872,1,2,1,2,2,2,2,2,9,99,NA,9,2,1,2
83873,1,2,1,2,2,2,2,2,2,12,3.82,3,1,NA,1
83874,1,2,2,2,2,2,2,2,2,3,0.66,1,2,1,4
83875,1,2,2,2,2,2,2,2,2,11,2.61,3,2,3,1
83876,2,2,1,2,2,2,2,2,2,3,0.81,1,2,3,1
83877,1,2,2,2,2,2,2,2,2,11,3.51,3,2,1,1
83878,1,2,1,2,1,2,2,2,2,77,NA,1,2,1,1
83879,1,2,2,2,2,2,2,1,2,12,3.8,3,1,NA,1
83880,2,2,1,2,1,2,1,2,2,4,0.52,1,2,2,1
83881,1,1,2,2,2,2,2,1,2,8,1.88,3,1,NA,1
83882,1,2,2,2,2,2,2,2,2,99,NA,9,2,1,1
83883,2,2,2,2,2,1,2,2,2,2,0.71,1,2,1,3
83884,1,2,1,1,2,2,2,2,2,4,0.69,1,2,1,1
83885,1,2,2,2,2,2,2,2,2,9,2.37,3,2,2,1
83886,1,2,1,2,2,2,2,2,2,6,1.8,2,2,4,1
83887,9,2,9,2,2,2,9,2,2,99,NA,9,2,1,6
83888,1,2,2,2,2,2,2,2,1,7,1.14,1,2,1,1
83889,1,2,2,2,2,2,2,1,2,8,4.08,3,2,1,1
83890,1,2,2,2,2,2,2,2,2,8,1.69,2,2,1,1
83891,1,2,2,2,2,2,2,2,2,7,3.06,3,1,NA,1
83892,1,2,2,2,2,2,1,2,2,3,0.4,1,2,1,1
83893,2,2,1,2,2,2,2,2,2,4,1.12,1,2,1,3
83894,1,1,1,2,1,2,1,2,2,7,1.14,1,2,1,1
83895,2,2,1,2,2,2,2,2,2,99,NA,1,2,1,8
83896,1,2,2,2,2,2,2,2,2,6,1.01,1,2,1,1
83897,1,1,2,2,2,2,2,2,2,6,2.53,3,2,2,1
83898,1,1,2,2,2,2,2,2,2,8,2.38,3,2,3,1
83899,1,1,2,2,2,2,2,2,1,3,0.9,1,2,2,1
83900,1,2,1,1,1,1,2,2,2,4,1.63,2,2,1,1
83901,1,1,2,2,2,2,2,2,2,3,0.59,1,2,1,1
83902,1,1,2,2,2,2,2,2,2,11,5,3,1,NA,1
83903,1,2,2,2,2,2,2,2,1,9,2.98,3,2,1,1
83904,2,2,1,2,2,2,2,2,2,99,NA,1,2,2,2
83905,1,2,2,2,2,2,2,2,1,8,1.17,1,2,1,2
83906,2,2,2,2,2,2,2,2,1,1,0,1,2,1,1
83907,2,2,2,2,2,2,2,1,2,1,0,1,1,NA,6
83908,1,2,2,2,2,2,2,2,2,6,2.63,3,2,1,1
83909,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,77
83910,1,1,2,2,2,2,1,2,2,8,3,3,2,2,1
83911,1,1,2,2,2,2,2,2,1,8,1.98,3,2,3,1
83912,1,2,2,2,2,2,2,2,2,7,1.33,2,2,2,1
83913,1,2,2,2,2,2,2,2,2,6,1.09,1,2,4,1
83914,1,2,2,2,1,2,2,2,2,7,2.64,3,1,NA,1
83915,1,1,1,2,2,2,2,2,2,7,1.9,3,2,1,1
83916,1,2,2,2,2,2,2,2,2,11,2.58,3,1,NA,1
83917,1,2,2,1,2,2,2,2,2,5,0.99,1,2,1,1
83918,1,1,2,2,2,2,2,2,2,9,1.63,2,2,1,1
83919,1,1,2,2,2,2,2,2,2,7,1.79,2,2,1,1
83920,1,2,1,2,1,1,2,2,2,3,0.35,1,2,1,2
83921,1,2,2,2,2,2,2,2,2,11,2.95,3,2,2,1
83922,1,2,1,2,2,1,1,1,2,4,0.74,1,2,1,1
83923,1,2,1,2,2,2,2,1,1,6,1.24,1,2,1,1
83924,1,2,1,2,2,2,2,2,2,4,1.12,1,2,1,1
83925,1,2,1,2,2,2,2,2,2,7,3.57,3,2,1,1
