"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
84978,1,2,2,2,2,2,2,2,2,6,1.67,2,2,1,1
84979,1,2,2,2,2,2,2,2,2,7,1.27,1,2,1,1
84980,2,1,2,2,2,2,2,2,2,1,0.25,1,2,1,4
84981,1,2,2,2,2,2,2,2,2,4,0.47,1,2,1,1
84982,1,2,2,2,2,2,2,2,2,7,1.48,2,2,1,1
84983,1,2,2,2,2,2,1,2,1,3,0.82,1,2,1,1
84984,1,1,1,2,1,2,2,2,1,11,3.7,3,2,1,1
84985,1,2,2,2,2,2,2,2,2,12,4.94,3,2,2,1
84986,1,2,2,2,2,2,2,2,1,6,1.14,1,2,2,1
84987,1,2,2,2,2,2,2,2,1,7,1.22,1,2,1,1
84988,1,2,2,2,2,2,2,2,2,1,0,1,2,1,3
84989,1,2,2,2,2,2,1,2,2,12,3.64,3,2,2,1
84990,1,2,2,2,2,2,2,2,2,10,2.53,3,2,1,1
84991,1,2,2,2,2,2,2,2,1,7,1.71,2,2,1,1
84992,2,2,1,2,2,2,2,1,2,6,2.24,3,1,NA,1
84993,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
84994,1,2,2,2,2,2,2,2,2,9,2.47,3,2,2,1
84995,2,2,1,2,2,1,2,2,2,2,0.76,1,2,1,3
84996,1,2,2,2,2,2,2,2,2,4,0.74,1,2,1,1
84997,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
84998,1,1,1,2,2,1,1,2,1,7,1.48,2,2,1,1
84999,1,2,2,2,2,1,2,2,2,6,1.05,1,2,1,7
85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85001,1,2,1,2,1,2,2,2,2,99,NA,1,2,1,2
85002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85003,1,2,2,2,2,2,2,2,2,8,1.61,2,2,1,1
85004,1,1,2,2,2,2,2,2,2,9,2.47,3,2,2,1
85005,2,2,2,2,2,2,2,2,2,4,0.59,1,2,1,1
85006,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
85007,1,2,2,2,2,2,2,2,2,4,0.9,1,2,1,1
85008,1,1,2,2,2,2,2,2,2,3,0.59,1,2,1,1
85009,1,2,2,2,2,2,2,2,2,77,NA,7,2,1,1
85010,1,2,1,2,2,2,2,2,2,99,NA,3,2,4,1
85011,1,2,2,2,2,2,2,2,2,6,1.24,1,2,1,1
85012,1,1,2,2,2,2,2,2,2,8,2.26,3,2,1,1
85013,1,1,2,2,2,2,2,2,1,5,0.99,1,2,1,1
85014,1,2,2,2,2,2,2,2,1,12,4.2,3,2,1,1
85015,1,2,2,2,2,2,2,2,1,1,0,1,2,1,1
85016,1,2,2,2,2,2,2,2,2,2,0.45,1,2,1,6
85017,1,1,1,2,1,2,2,1,2,11,3.46,3,1,NA,4
85018,1,2,2,2,2,2,2,2,2,8,2.69,3,2,1,1
85019,1,2,2,2,2,2,1,2,2,1,0.12,1,2,1,1
85020,1,2,2,2,2,2,2,2,2,6,1.03,1,2,1,1
85021,2,2,2,2,2,1,1,2,2,5,0.74,1,2,1,1
85022,1,1,2,2,2,2,2,1,2,7,3.03,3,2,1,1
85023,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
85024,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
85025,1,2,2,2,2,2,2,2,2,2,0.37,1,2,1,1
85026,1,2,2,2,2,2,2,2,2,5,0.74,1,2,1,1
85027,1,2,2,2,1,2,2,2,1,8,1.69,2,2,1,1
85028,2,2,1,2,2,2,2,2,2,1,0.29,1,2,1,2
85029,2,2,2,2,2,2,2,2,2,8,2.39,3,2,3,1
85030,1,2,2,2,2,2,2,1,1,7,1.1,1,9,NA,1
85031,1,2,1,2,2,2,2,2,2,5,1.5,2,2,1,1
85032,1,2,2,2,2,2,2,2,2,7,0.98,1,2,1,1
85033,1,2,1,2,2,2,2,2,2,4,0.49,1,2,1,2
85034,2,2,1,2,2,2,2,2,2,6,1.88,3,1,NA,1
85035,2,2,1,2,2,1,2,2,2,3,0.9,1,2,1,1
85036,1,1,1,2,2,2,2,2,2,5,0.74,1,2,1,1
85037,1,1,2,2,2,2,2,2,2,8,3.01,3,2,1,1
85038,1,1,1,2,2,1,1,2,1,7,1.48,2,2,1,1
85039,2,2,1,2,2,2,2,2,2,4,1.09,1,2,1,1
85040,1,2,2,2,2,2,2,2,2,5,0.99,1,2,1,1
85041,1,1,1,2,2,2,2,1,2,7,2.26,3,2,2,1
85042,1,2,2,2,2,2,2,2,2,4,1.33,2,2,1,1
85043,1,2,2,2,2,2,2,2,2,6,0.99,1,2,1,1
85044,1,2,2,2,2,2,2,2,2,9,2.98,3,1,NA,1
85045,1,2,2,2,2,2,2,2,2,7,1.73,2,2,3,1
85046,9,2,9,2,2,2,9,2,2,99,NA,9,2,1,6
85047,1,2,2,2,2,2,2,2,2,10,3.33,3,2,5,1
85048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85049,1,2,1,2,2,2,2,2,2,11,3.71,3,1,NA,1
85050,1,2,2,2,2,2,2,2,2,7,1.79,2,2,1,1
85051,2,2,1,1,2,2,2,2,1,5,1.72,2,2,1,1
85052,1,1,2,2,2,1,1,1,2,7,1.05,1,2,1,1
85053,1,2,2,1,2,1,2,2,2,12,2.65,3,9,NA,1
85054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85055,1,2,2,2,2,2,2,1,2,12,4.4,3,1,NA,1
85056,1,2,2,2,2,2,1,2,2,99,NA,1,2,1,1
85057,1,2,2,2,2,2,2,1,2,8,2.39,3,1,NA,1
85058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85059,2,2,1,1,2,1,2,2,1,1,0,1,2,1,1
85060,1,2,2,2,2,2,2,2,2,10,4.49,3,2,2,1
85061,2,2,1,2,2,2,2,2,2,3,0.83,1,2,2,1
85062,1,2,2,1,2,1,2,2,2,12,2.65,3,9,NA,1
85063,1,2,1,1,2,2,2,2,2,9,3.1,3,2,1,2
85064,2,2,1,2,2,2,2,2,2,3,0.75,1,2,1,1
85065,1,2,2,2,2,2,2,2,2,4,0.68,1,2,1,7
85066,1,2,1,2,2,2,2,2,2,10,3.58,3,2,1,1
85067,2,2,1,2,2,2,2,1,2,9,3.77,3,1,NA,1
85068,1,2,2,2,2,2,2,1,2,9,2.47,3,2,5,1
85069,9,2,1,2,2,2,2,2,2,5,1.19,1,1,NA,1
85070,1,2,2,2,2,2,2,2,1,3,0.75,1,2,1,1
85071,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
85072,1,2,2,2,2,2,2,2,2,99,NA,9,2,1,1
85073,1,2,2,2,2,2,2,2,2,3,0.59,1,2,1,1
85074,1,2,2,2,2,2,1,2,2,12,3.64,3,2,2,1
85075,1,2,2,1,2,2,2,2,2,7,1.48,2,2,1,1
85076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85077,2,2,1,2,2,1,1,2,2,6,0.92,1,2,1,1
85078,1,1,2,2,2,2,2,2,2,8,1.12,1,2,1,1
85079,1,2,2,2,2,2,2,2,2,4,0.52,1,2,2,4
85080,1,2,2,2,2,1,2,2,2,5,0.72,1,2,1,1
85081,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
85082,1,2,2,2,2,2,1,2,2,5,0.84,1,2,1,1
85083,1,2,2,2,2,2,2,2,2,6,1.04,1,2,1,1
85084,1,2,2,2,2,2,2,2,1,4,0.95,1,2,1,1
85085,1,2,2,2,2,2,2,2,2,7,1.27,1,2,1,1
85086,2,2,2,2,2,2,2,2,2,1,0,1,2,1,1
85087,1,2,2,2,2,2,2,2,2,11,3.95,3,2,3,1
85088,1,1,1,1,2,2,2,2,2,5,1.43,2,2,1,1
85089,1,2,2,2,2,2,2,2,2,8,1.98,3,2,3,1
85090,1,2,2,2,2,2,2,2,2,5,0.76,1,2,1,1
85091,1,1,1,2,2,2,2,2,1,5,0.44,1,2,2,1
85092,1,2,2,2,2,2,2,1,2,6,2.24,3,2,2,4
85093,1,1,2,2,2,2,2,9,2,11,3.87,3,2,1,1
85094,2,2,2,2,2,2,2,2,2,99,NA,3,2,99,4
85095,1,2,2,2,1,2,2,1,2,11,2.87,3,1,NA,1
85096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85097,1,2,2,2,2,2,2,2,2,4,0.74,1,2,1,2
85098,1,1,1,2,2,1,2,2,1,6,1.18,1,2,1,2
85099,2,1,2,2,2,2,2,2,2,10,2.53,3,2,4,9
85100,1,1,1,2,2,1,2,2,2,5,0.74,1,2,1,7
85101,1,1,2,2,2,2,2,2,2,7,2.26,3,2,1,1
85102,1,2,2,2,2,2,2,2,1,7,2.18,3,1,NA,1
85103,1,2,2,2,2,2,2,2,2,10,2.97,3,1,NA,1
85104,1,2,2,2,2,2,2,2,2,9,2.11,3,2,4,1
85105,1,2,2,2,2,2,2,1,2,12,4.4,3,1,NA,1
85106,1,2,1,2,2,2,2,2,1,6,1.49,2,2,1,1
85107,1,2,2,2,2,2,2,2,2,6,0.7,1,2,1,1
85108,1,2,2,2,2,2,2,2,2,5,0.84,1,2,1,1
85109,1,2,2,2,2,2,2,2,2,99,NA,9,9,NA,1
85110,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
85111,1,1,2,2,2,2,2,2,2,8,2.94,3,2,1,1
85112,1,1,2,2,2,2,2,2,1,5,1.35,2,2,1,1
85113,1,1,2,2,2,2,2,2,1,9,2.11,3,2,1,1
85114,1,2,2,2,2,2,2,2,2,7,1.73,2,1,NA,1
85115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85116,1,2,2,2,2,2,2,2,1,3,0.4,1,2,1,1
85117,1,2,2,2,2,2,2,1,1,4,1.63,2,2,1,1
85118,1,2,2,2,2,2,2,2,2,9,3.9,3,2,1,1
85119,2,2,1,2,2,2,2,2,2,6,1.69,2,1,NA,1
85120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85121,1,2,2,2,2,2,2,2,2,99,NA,3,2,2,1
85122,1,2,2,2,2,2,2,2,2,4,0.9,1,2,1,1
85123,1,2,2,2,2,2,2,2,1,77,NA,2,2,77,1
85124,1,2,2,2,2,2,1,2,2,7,0.88,1,2,1,1
85125,1,2,2,1,2,1,1,2,1,6,1.46,2,2,1,1
85126,1,2,2,2,2,2,2,2,2,11,5,3,2,4,1
85127,1,2,2,2,2,2,2,1,2,7,1.14,1,2,3,2
85128,1,2,1,2,1,2,2,1,2,12,5,3,1,NA,1
85129,1,2,2,2,2,2,2,2,2,6,0.96,1,2,1,1
85130,1,2,1,2,2,1,2,2,2,8,1.65,2,2,1,1
85131,1,2,2,2,2,2,2,2,2,8,4.04,3,2,3,1
85132,1,2,2,2,2,2,2,2,2,12,5,3,2,5,1
85133,1,1,2,2,2,2,2,2,2,9,1.63,2,2,1,1
85134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85135,1,2,2,2,2,2,2,2,2,9,1.84,2,2,1,1
85136,1,2,2,2,2,1,2,2,2,4,0.63,1,2,1,1
85137,1,2,2,2,2,2,2,2,2,8,3.39,3,2,1,1
85138,1,2,2,2,2,2,2,1,2,4,1.05,1,1,NA,1
85139,1,2,2,2,2,2,2,2,2,5,0.74,1,2,1,1
85140,1,2,2,2,2,2,2,2,2,11,2.75,3,1,NA,1
85141,1,2,2,2,2,2,2,2,2,10,2.67,3,2,1,1
85142,2,2,1,2,1,2,2,2,2,6,1.31,2,2,1,1
85143,2,2,1,2,2,2,2,2,2,99,NA,3,2,1,2
85144,1,2,2,2,2,1,2,2,2,1,0,1,2,1,1
85145,1,2,2,2,2,2,2,2,1,8,1.69,2,2,1,2
85146,1,2,1,2,1,2,2,2,1,5,0.84,1,2,1,1
85147,1,2,2,2,2,2,2,2,2,2,0.35,1,2,2,1
85148,1,2,2,2,2,2,1,2,2,7,1.11,1,2,2,1
85149,2,2,1,2,2,2,2,2,2,99,NA,3,2,1,1
85150,2,1,2,2,2,2,2,2,2,3,0.37,1,2,1,1
85151,1,2,2,2,2,2,2,2,2,7,1.58,2,2,1,1
85152,2,2,1,2,2,2,2,1,2,8,3.07,3,1,NA,1
85153,1,2,2,2,2,2,2,2,2,7,1.27,1,2,4,1
85154,2,1,2,2,2,2,2,2,2,3,0.71,1,2,1,1
85155,1,1,2,2,2,2,2,2,1,8,2.69,3,2,2,1
85156,2,2,2,2,2,1,2,2,2,2,0.73,1,2,1,6
85157,2,2,2,2,2,2,2,2,2,1,0,1,2,1,1
85158,1,2,2,2,2,2,2,2,2,5,1.19,1,2,1,1
85159,1,2,2,2,1,2,2,2,1,7,1.9,3,2,1,1
85160,1,2,2,2,2,2,1,2,2,3,1.22,1,2,1,1
85161,1,1,1,2,1,2,2,1,2,8,2.41,3,1,NA,1
85162,1,1,1,2,2,2,2,1,2,12,5,3,1,NA,1
85163,1,2,2,2,2,2,2,2,1,1,0,1,2,1,2
85164,1,2,2,2,2,2,2,2,2,7,1.35,2,2,1,1
85165,1,2,2,2,2,2,2,2,2,11,3.85,3,1,NA,1
85166,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
85167,1,2,2,2,2,2,2,1,2,9,1.47,2,1,NA,9
85168,1,2,2,2,2,2,2,2,2,10,2.97,3,2,1,1
85169,1,2,1,2,2,2,2,2,2,8,1.47,2,9,NA,1
85170,2,1,1,2,1,2,2,2,2,11,5,3,1,NA,1
85171,1,1,1,2,1,2,2,2,2,11,2.75,3,2,99,1
85172,1,2,2,2,2,2,2,1,1,10,3.57,3,1,NA,1
85173,1,2,2,2,2,2,2,2,2,99,NA,3,2,1,1
85174,1,2,2,2,2,2,2,2,1,6,1.14,1,2,2,1
85175,2,2,2,2,2,2,1,2,1,2,0.41,1,2,1,3
85176,1,2,1,2,1,2,2,2,2,10,2.96,3,2,1,1
85177,2,2,1,2,1,2,2,2,1,99,NA,1,2,1,1
85178,1,1,2,2,2,1,2,2,2,11,3.38,3,2,1,1
85179,1,2,2,2,2,2,2,2,1,11,2.76,3,2,2,1
85180,1,2,2,2,2,2,2,2,2,5,0.99,1,2,1,1
85181,1,2,2,2,2,2,2,2,2,7,3.06,3,2,3,1
85182,1,2,2,2,2,2,2,2,2,8,2.51,3,2,1,1
85183,1,1,2,2,2,2,2,2,2,8,1.23,1,2,1,1
85184,1,1,2,2,2,2,2,2,2,12,5,3,1,NA,1
85185,1,2,2,2,2,2,2,2,2,11,4.17,3,2,2,1
85186,1,2,2,1,1,2,2,2,1,12,4.31,3,2,4,1
85187,2,2,1,2,2,2,2,2,2,6,2.02,3,1,NA,1
85188,1,2,2,2,2,2,2,2,2,7,1.1,1,2,3,1
85189,2,2,1,2,2,2,2,2,2,4,1.43,2,2,1,1
85190,1,2,2,2,2,2,2,2,2,2,0.3,1,2,1,1
85191,1,2,1,2,2,1,1,2,2,2,0.39,1,2,1,1
85192,2,2,1,2,1,2,2,1,2,1,0,1,2,1,1
85193,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
85194,1,2,2,2,2,2,2,2,2,8,2.39,3,2,1,1
85195,1,2,2,2,2,1,2,2,2,5,0.99,1,2,1,1
85196,2,1,2,2,2,2,2,2,1,77,NA,1,2,1,1
85197,1,2,2,2,2,2,2,2,2,5,2.02,3,2,2,1
85198,1,2,2,2,2,2,2,2,1,9,2.47,3,2,1,1
85199,2,2,1,2,2,2,1,2,2,77,NA,1,2,1,1
85200,1,2,1,2,2,2,2,2,2,99,NA,3,2,1,1
85201,1,2,2,2,2,1,2,2,1,4,0.49,1,2,1,1
85202,1,2,2,2,2,2,2,2,2,5,0.76,1,2,1,1
85203,1,2,2,1,1,2,2,2,1,99,NA,3,2,2,1
85204,1,2,2,2,2,2,2,2,2,9,3.77,3,2,2,1
85205,1,2,2,2,2,2,2,2,2,7,1.58,2,2,1,1
85206,1,2,1,2,2,2,1,2,2,3,0.68,1,2,1,1
85207,1,2,2,2,2,2,2,2,2,5,1.51,2,2,1,1
85208,2,2,2,2,2,2,2,2,2,2,0.18,1,7,NA,1
85209,1,2,2,2,2,2,2,2,1,8,2.39,3,2,1,1
85210,1,1,2,2,2,2,2,2,1,1,0.05,1,2,1,3
85211,1,2,2,2,2,2,2,2,2,12,4.94,3,1,NA,1
85212,1,2,1,2,2,2,2,2,2,12,5,3,7,NA,1
85213,1,2,2,2,2,2,2,2,2,99,NA,3,2,1,1
85214,1,2,2,2,2,2,2,1,2,9,2.98,3,2,3,1
85215,2,1,9,9,2,2,1,2,2,99,NA,9,2,99,6
85216,2,2,1,2,2,2,1,2,2,3,0.81,1,2,1,1
85217,2,1,2,2,2,2,2,2,2,11,3.96,3,2,1,1
85218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85219,2,2,1,2,2,2,2,2,2,4,1.2,1,2,1,1
85220,1,2,2,2,2,2,2,2,2,11,5,3,2,1,1
85221,1,2,2,2,2,2,2,2,2,11,4.48,3,2,1,1
85222,1,2,2,2,2,2,2,2,2,7,1.53,2,2,1,1
85223,1,2,2,2,2,2,2,2,2,7,1.14,1,2,1,1
85224,1,2,2,2,2,2,2,2,1,9,3.47,3,2,1,1
85225,1,2,2,2,1,2,2,2,2,6,1.19,1,2,1,1
85226,1,1,2,2,2,2,2,2,2,7,1.68,2,1,NA,1
85227,1,1,2,2,2,2,2,2,2,5,0.84,1,2,1,1
85228,2,1,2,2,2,2,2,2,2,3,0.23,1,2,1,1
85229,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
85230,1,2,2,2,2,2,2,2,2,3,1.02,1,1,NA,1
85231,1,2,2,2,2,2,2,2,2,6,0.88,1,2,1,1
85232,1,2,1,2,2,2,2,1,2,99,NA,3,1,NA,6
85233,2,2,2,1,2,2,2,2,2,5,1.42,2,2,1,1
85234,1,2,2,2,2,2,2,2,2,8,3.01,3,2,1,1
85235,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
85236,2,2,1,2,1,2,2,2,2,4,1.13,1,2,1,1
85237,1,2,2,2,2,2,2,2,2,11,2.29,3,2,1,1
85238,9,2,1,2,1,2,2,2,2,6,1.81,2,2,99,1
85239,2,2,1,2,2,1,2,2,2,1,0,1,2,1,1
85240,1,2,2,2,2,2,2,2,2,4,0.59,1,2,2,1
85241,1,2,2,2,2,2,2,1,2,9,2.99,3,1,NA,1
85242,1,2,2,2,2,2,2,1,2,7,1.55,2,2,3,1
85243,1,2,2,2,2,2,2,2,2,8,1.98,3,2,1,1
85244,1,2,2,1,2,1,1,2,2,4,0.89,1,2,1,4
85245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85246,1,1,2,2,2,2,2,2,2,8,1.66,2,2,1,1
85247,1,2,2,2,2,2,2,2,2,8,2.39,3,2,1,1
85248,1,2,1,2,1,2,2,2,2,5,0.87,1,2,1,1
85249,1,2,2,2,2,2,2,2,2,12,5,3,2,1,1
85250,2,2,1,2,1,2,2,2,2,6,1.31,2,2,1,1
85251,1,2,2,2,2,2,2,1,2,12,4.94,3,1,NA,1
85252,1,2,2,2,1,2,2,2,1,3,0.67,1,2,1,1
85253,1,2,2,2,2,2,2,1,2,8,2.39,3,2,5,1
85254,2,2,1,1,2,1,2,2,1,5,0.76,1,2,1,1
85255,1,2,2,2,2,2,2,1,2,10,3.58,3,1,NA,1
85256,1,2,2,2,2,2,2,1,2,6,2.83,3,2,3,1
85257,2,2,1,2,2,2,2,2,1,6,1.86,3,1,NA,1
85258,1,2,2,2,2,2,2,2,1,4,0.74,1,2,1,1
85259,1,1,2,2,2,2,2,2,2,6,1.09,1,2,1,2
85260,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
85261,1,2,2,2,1,2,2,2,2,NA,NA,NA,NA,NA,1
85262,1,2,1,1,1,2,2,2,2,10,3.22,3,1,NA,1
85263,1,1,2,2,2,2,2,1,2,12,5,3,2,4,1
85264,1,2,2,2,2,2,2,2,2,3,1.21,1,2,3,1
85265,1,2,2,2,2,2,2,2,2,7,1.35,2,2,2,1
85266,1,2,1,2,2,2,2,2,2,99,NA,3,2,1,1
85267,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
85268,2,1,2,2,2,2,2,2,1,3,0.66,1,2,1,1
85269,2,1,2,2,2,2,2,1,2,5,1.5,2,2,1,1
85270,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
85271,1,2,2,2,2,2,2,2,2,8,2.39,3,2,1,1
85272,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
85273,1,2,2,2,2,2,2,2,2,4,0.9,1,2,1,1
85274,1,1,1,2,1,2,2,2,2,2,0.55,1,2,1,6
85275,1,2,1,2,1,2,1,2,1,77,NA,2,2,1,3
85276,1,2,2,2,2,2,2,2,1,10,2.72,3,2,2,1
85277,1,2,2,2,2,2,2,2,2,7,0.88,1,9,NA,1
85278,2,2,1,2,1,2,2,1,2,9,3.77,3,1,NA,1
85279,2,2,1,1,2,2,2,2,2,4,0.73,1,2,1,1
85280,1,2,2,2,2,2,2,2,2,6,1.09,1,2,2,1
85281,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
85282,1,1,2,2,2,2,2,2,2,5,0.63,1,2,1,1
85283,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,1
85284,1,2,2,2,2,2,2,2,2,12,4.94,3,1,NA,1
85285,2,2,1,2,2,2,2,2,2,99,NA,9,2,99,2
85286,2,2,2,2,2,2,2,2,1,4,1.31,2,2,1,6
85287,2,2,1,2,2,2,2,1,1,5,1.94,3,2,1,1
85288,1,1,1,2,2,2,2,2,2,10,3.57,3,2,2,1
85289,1,1,2,2,2,2,2,2,2,12,5,3,2,1,1
85290,1,2,2,2,2,2,2,2,2,4,0.52,1,2,2,4
85291,1,2,2,2,2,2,2,2,2,12,5,3,2,1,1
85292,2,2,1,2,1,2,2,1,2,8,3.01,3,1,NA,1
85293,1,1,2,2,2,2,2,2,1,9,3.77,3,2,2,1
85294,1,2,2,2,1,2,2,2,2,1,0,1,2,3,1
85295,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,7
85296,2,2,1,1,2,2,2,2,2,8,1.62,2,2,1,1
85297,1,2,2,2,2,2,2,2,2,7,1.11,1,2,1,1
85298,2,2,1,2,2,2,2,2,2,99,NA,9,2,4,1
85299,1,2,2,2,2,2,2,2,2,8,4.08,3,1,NA,1
85300,1,1,2,2,2,2,2,2,1,7,1.25,1,2,1,1
85301,1,2,2,2,2,1,2,2,2,7,1.48,2,2,1,3
85302,1,2,2,2,2,2,2,2,2,7,1.58,2,2,1,1
85303,2,2,1,2,1,1,2,2,2,99,NA,9,2,1,1
85304,2,2,1,2,1,2,2,2,2,5,1.51,2,2,1,1
85305,1,2,2,2,2,2,2,1,2,77,NA,3,1,NA,1
85306,1,2,2,2,2,2,2,1,2,9,2.52,3,2,2,1
85307,1,2,2,2,2,2,2,2,2,2,0.25,1,2,1,1
85308,2,2,2,2,2,2,2,2,2,5,1.5,2,2,1,7
85309,1,2,2,2,2,2,2,2,2,99,NA,1,2,99,1
85310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85311,1,1,2,2,2,2,1,2,2,2,0.14,1,2,1,3
85312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85313,1,1,2,2,2,2,2,1,2,11,3.46,3,1,NA,1
85314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85315,1,2,2,2,2,2,2,2,2,5,2.02,3,2,1,1
85316,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
85317,1,2,1,2,2,2,2,2,2,7,1.05,1,2,1,1
85318,1,2,2,1,1,2,2,2,1,3,0.9,1,1,NA,1
85319,1,2,2,2,2,2,2,2,2,6,1.67,2,2,1,1
85320,2,1,1,2,2,2,2,1,2,99,NA,3,1,NA,1
85321,1,2,2,2,2,2,2,2,2,11,4.12,3,1,NA,2
85322,1,1,1,2,2,2,2,2,2,7,1.9,3,2,1,1
85323,1,2,2,2,2,2,2,2,2,3,0.44,1,2,1,1
85324,2,2,2,2,2,2,2,2,2,1,0,1,2,4,1
85325,1,1,2,2,2,2,2,1,2,10,4.04,3,1,NA,1
85326,1,2,1,1,1,2,2,2,2,11,3.38,3,2,1,1
85327,1,2,2,2,2,2,2,1,2,9,5,3,2,1,1
85328,1,2,2,2,2,2,2,2,2,12,4,3,1,NA,1
85329,1,2,2,2,2,2,2,2,2,9,2.99,3,2,2,1
85330,1,2,2,2,2,2,1,2,2,7,1.36,2,2,1,1
85331,1,2,2,2,2,2,2,2,2,77,NA,2,7,NA,1
85332,1,2,2,2,2,2,2,2,2,6,1.67,2,2,1,1
85333,1,2,2,2,2,1,2,2,2,2,0.31,1,2,3,2
85334,1,1,2,2,2,2,2,2,2,10,2.62,3,1,NA,1
85335,2,2,1,2,1,2,2,2,2,6,1.66,2,2,1,1
85336,1,2,2,2,2,2,2,2,1,6,1.49,2,2,1,1
85337,1,2,2,2,2,2,2,2,1,11,5,3,1,NA,1
85338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85339,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
85340,1,1,2,2,2,2,2,1,1,11,3.27,3,2,3,1
85341,1,2,2,2,2,2,2,2,2,2,0.45,1,2,1,1
85342,2,2,2,2,2,2,2,2,2,4,0.59,1,2,1,1
85343,1,2,2,2,2,2,2,2,2,6,0.92,1,2,1,1
85344,1,2,1,1,2,1,1,1,2,5,0.84,1,2,1,1
85345,2,2,1,2,1,2,2,1,2,9,3.77,3,1,NA,1
85346,2,2,1,2,2,1,2,2,2,2,0.77,1,2,1,9
85347,1,1,2,2,2,2,2,2,2,7,1.48,2,1,NA,1
85348,1,1,2,2,2,2,2,2,2,9,1.47,2,2,1,1
85349,1,2,2,2,2,2,2,2,2,4,0.63,1,2,1,3
85350,2,2,2,2,2,2,1,2,2,3,0.29,1,2,1,2
85351,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
85352,1,2,2,2,2,2,1,2,2,3,0.72,1,2,1,1
85353,1,1,2,2,2,2,2,2,2,11,2.96,3,1,NA,1
85354,1,2,1,2,2,2,2,2,2,11,3.71,3,1,NA,1
85355,1,2,2,2,2,2,2,2,2,11,3.68,3,2,1,1
85356,1,1,2,2,2,2,2,1,2,8,3.39,3,7,NA,1
85357,2,2,2,2,2,2,2,2,2,99,NA,9,2,1,4
85358,1,1,2,2,2,2,2,2,2,3,0.47,1,2,99,1
85359,1,2,2,2,2,2,2,2,2,11,2.95,3,2,2,1
85360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85361,1,1,2,2,2,2,2,2,2,99,NA,9,2,1,1
85362,2,2,1,1,2,2,1,2,2,7,1.79,2,2,1,2
85363,1,2,2,2,2,2,2,2,2,8,1.32,2,2,99,1
85364,1,1,2,2,2,2,2,2,1,7,2.64,3,1,NA,1
85365,1,2,2,2,2,1,2,2,1,3,0.33,1,2,1,1
85366,1,2,1,2,2,1,2,2,2,3,0.47,1,2,1,1
85367,1,2,2,2,2,2,2,2,1,7,2.18,3,1,NA,1
85368,1,2,2,2,2,2,2,2,2,8,2.39,3,2,1,1
85369,1,1,2,2,2,2,2,2,2,6,2.02,3,2,1,1
