"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd391","ocd392","ocd395","ocq510","ocq520","ocq530","ocq540","ocq550","ocq560","ocq570","ocq580"
41475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,21,72,2,NA,1,16,2,NA,1,7
41477,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,19,480,1,40,2,NA,2,NA,2,NA
41479,1,50,NA,8,22,1,4,24,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41481,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,16,8,2,NA,2,NA,2,NA,2,NA
41482,1,40,NA,4,19,1,1,180,2,NA,NA,2,NA,NA,NA,1,31,2,NA,2,NA,1,31
41483,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,21,360,2,NA,2,NA,1,30,1,30
41485,1,50,NA,6,21,1,2,120,2,NA,NA,2,NA,NA,NA,2,NA,1,8,1,8,2,NA
41486,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41487,1,40,NA,11,3,1,1,12,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41489,1,40,NA,21,2,4,1,204,2,NA,NA,2,NA,NA,NA,2,NA,1,3,2,NA,2,NA
41490,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,16,396,2,NA,2,NA,2,NA,2,NA
41492,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,21,180,2,NA,2,NA,2,NA,1,7
41493,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,17,180,2,NA,2,NA,1,15,2,NA
41494,1,56,NA,6,22,1,5,60,2,NA,NA,2,NA,NA,NA,1,0,2,NA,2,NA,2,NA
41495,1,52,NA,7,19,1,2,252,1,1,NA,2,NA,NA,NA,1,6,1,21,1,2,1,1
41496,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41498,1,40,NA,12,14,1,1,336,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,28
41499,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41501,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,22,528,2,NA,2,NA,2,NA,2,NA
41502,1,40,NA,7,22,1,1,120,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41503,1,45,NA,6,21,1,3,36,2,NA,NA,2,NA,NA,NA,2,NA,1,3,2,NA,2,NA
41504,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,8,16,360,2,NA,2,NA,2,NA,2,NA
41506,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,10,17,420,2,NA,2,NA,2,NA,2,NA
41509,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,5,21,168,2,NA,2,NA,2,NA,1,7
41510,1,45,NA,18,14,1,5,3,1,1,NA,1,18,14,180,2,NA,1,15,2,NA,1,15
41511,1,56,NA,4,19,1,1,18,2,NA,NA,2,NA,NA,NA,1,14,1,14,1,5,1,7
41512,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,10,17,24,NA,NA,NA,NA,NA,NA,NA,NA
41513,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41514,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,8,456,1,38,2,NA,2,NA,2,NA
41516,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,18,13,120,1,2,1,18,1,18,1,40
41518,1,50,NA,15,1,3,1,288,2,NA,NA,1,15,8,252,2,NA,2,NA,2,NA,1,1
41519,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,22,180,2,NA,2,NA,2,NA,2,NA
41522,1,25,2,13,17,1,1,5,2,NA,NA,1,7,16,432,2,NA,2,NA,2,NA,2,NA
41523,1,54,NA,5,1,1,1,30,2,NA,NA,1,15,20,72,1,6,2,NA,1,2,1,6
41524,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,5,156,NA,NA,NA,NA,NA,NA,NA,NA
41525,1,54,NA,5,21,1,1,144,1,8,NA,2,NA,NA,NA,2,NA,2,NA,1,12,1,12
41526,1,40,NA,8,17,1,1,168,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41527,1,40,NA,4,1,5,5,96,1,2,NA,2,NA,NA,NA,1,8,1,8,2,NA,2,NA
41528,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,9,22,240,1,15,1,20,1,40,1,20
41529,1,50,NA,15,8,3,5,36,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41530,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41531,1,50,NA,17,13,1,4,14,1,1,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41534,1,28,1,16,15,3,4,9,1,3,NA,1,17,15,120,2,NA,1,1,1,2,1,2
41536,1,47,NA,13,17,1,1,84,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41537,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,18,13,1,2,NA,2,NA,2,NA,2,NA
41538,1,34,1,18,13,1,4,36,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,3
41539,1,50,NA,17,1,1,1,144,2,NA,NA,2,NA,NA,NA,1,2,2,NA,2,NA,2,NA
41540,1,10,1,7,21,1,1,3,1,1,NA,1,14,14,6,1,0,1,0,1,0,1,0
41541,1,45,NA,11,1,1,1,120,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41542,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,22,168,2,NA,2,NA,1,14,2,NA
41544,1,45,NA,6,1,1,1,60,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41545,1,40,NA,20,14,1,1,96,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41546,1,45,NA,5,3,1,1,120,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41547,1,32,1,21,12,3,1,240,2,NA,NA,2,NA,NA,NA,1,1,2,NA,2,NA,2,NA
41548,1,35,NA,18,13,1,4,24,1,6,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,8
41549,1,15,2,8,16,1,5,8,1,0,NA,1,20,10,156,2,NA,2,NA,2,NA,2,NA
41550,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,6,22,36,1,3,1,1,2,NA,1,3
41552,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,18,13,264,1,5,1,3,2,NA,1,5
41555,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,22,324,2,NA,2,NA,1,26,2,NA
41556,1,33,1,2,22,1,1,7,2,NA,NA,1,1,18,240,1,7,1,7,1,10,1,1
41557,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,360,NA,NA,NA,NA,NA,NA,NA,NA
41558,1,40,NA,16,21,1,2,108,2,NA,NA,2,NA,NA,NA,2,NA,1,7,2,NA,1,9
41562,1,56,NA,10,3,1,1,120,1,1,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41563,1,55,NA,15,17,1,1,192,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,0
41565,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,16,600,1,50,1,50,1,50,2,NA
41567,1,40,NA,13,9,1,1,180,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41569,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,16,14,120,2,NA,2,NA,2,NA,2,NA
41570,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,9,22,444,1,37,1,37,1,37,1,37
41572,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,8,17,1,1,0,2,NA,2,NA,2,NA
41573,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,16,36,2,NA,2,NA,2,NA,2,NA
41574,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,8,16,300,2,NA,2,NA,1,2,1,2
41575,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,480,2,NA,1,40,2,NA,2,NA
41576,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,22,360,1,30,2,NA,2,NA,2,NA
41577,1,52,NA,11,17,1,1,24,2,NA,NA,1,18,13,48,2,NA,2,NA,2,NA,2,NA
41578,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,10,360,2,NA,2,NA,2,NA,2,NA
41579,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,17,348,2,NA,2,NA,2,NA,2,NA
41581,1,40,NA,21,14,4,1,72,1,3,NA,2,NA,NA,NA,1,4,2,NA,1,36,1,36
41583,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,6,21,360,2,NA,2,NA,2,NA,2,NA
41584,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41587,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41589,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,2,384,2,NA,2,NA,2,NA,2,NA
41590,1,45,NA,11,2,1,1,0,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41592,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41594,1,90,NA,21,12,4,4,36,2,NA,NA,1,4,19,144,1,0,1,12,1,6,2,NA
41595,1,30,1,4,17,1,1,12,1,5,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41597,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,16,13,156,2,NA,2,NA,2,NA,2,NA
41599,1,44,NA,16,11,1,1,48,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,8
41600,1,5,1,4,1,5,1,12,1,8,NA,2,NA,NA,NA,1,8,1,8,1,1,1,1
41605,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,17,84,2,NA,2,NA,2,NA,2,NA
41607,1,40,NA,18,13,1,1,168,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41608,1,10,2,8,16,1,4,24,1,0,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41610,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,8,17,60,2,NA,2,NA,2,NA,2,NA
41611,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,17,372,2,NA,2,NA,2,NA,2,NA
41612,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,21,168,NA,NA,NA,NA,NA,NA,NA,NA
41613,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,21,252,2,NA,2,NA,2,NA,2,NA
41615,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,15,3,2,NA,2,NA,2,NA,2,NA
41616,1,23,2,16,11,1,1,18,2,NA,NA,1,5,21,192,2,NA,1,16,2,NA,1,16
41617,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,16,360,NA,NA,NA,NA,NA,NA,NA,NA
41618,1,40,NA,19,15,1,1,180,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41619,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41622,2,NA,2,8,16,1,4,8,2,NA,NA,1,21,16,276,2,NA,2,NA,2,NA,2,NA
41623,1,16,2,8,8,1,5,36,2,NA,NA,2,NA,NA,NA,1,0,2,NA,2,NA,2,NA
41624,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41625,1,8,2,7,21,1,5,18,2,NA,NA,1,8,16,48,2,NA,2,NA,2,NA,2,NA
41626,1,60,NA,16,11,1,1,12,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41627,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,10,600,NA,NA,NA,NA,NA,NA,NA,NA
41628,1,28,2,10,17,1,5,6,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41629,1,36,NA,8,16,1,1,3,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41633,1,5,2,18,13,1,1,0,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41635,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,4,19,4,1,2,2,NA,2,NA,2,NA
41636,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,20,14,240,2,NA,2,NA,2,NA,2,NA
41637,1,65,NA,14,14,1,1,24,2,NA,NA,2,NA,NA,NA,1,5,1,5,1,5,2,NA
41639,1,40,NA,15,8,3,1,144,2,NA,NA,2,NA,NA,NA,1,8,2,NA,2,NA,2,NA
41641,1,15,2,12,17,1,5,36,2,NA,NA,1,13,7,420,NA,NA,NA,NA,NA,NA,NA,NA
41642,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,8,360,1,10,2,NA,2,NA,2,NA
41643,1,40,NA,19,15,1,1,12,2,NA,NA,2,NA,NA,NA,2,NA,1,1,2,NA,2,NA
41648,1,40,NA,16,11,1,1,288,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,15
41652,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,17,192,2,NA,2,NA,2,NA,2,NA
41653,1,30,2,8,16,1,4,8,1,1,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41654,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,21,240,NA,NA,NA,NA,NA,NA,NA,NA
41663,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20,14,24,2,NA,2,NA,2,NA,2,NA
41664,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,19,480,1,9,2,NA,2,NA,2,NA
41666,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,12,16,48,2,NA,2,NA,2,NA,2,NA
41668,1,46,NA,5,21,1,5,12,2,NA,NA,3,22,23,120,2,NA,2,NA,2,NA,2,NA
41669,1,84,NA,6,21,1,4,28,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41670,1,33,1,19,22,1,1,48,1,2,NA,2,NA,NA,NA,2,NA,2,NA,1,4,2,NA
41671,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,21,420,NA,NA,NA,NA,NA,NA,NA,NA
41672,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,21,360,2,NA,1,30,1,30,1,30
41674,1,42,NA,11,16,1,4,24,1,1,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41675,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,5,21,348,2,NA,2,NA,1,29,2,NA
41676,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,14,17,84,2,NA,2,NA,2,NA,2,NA
41677,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,17,432,2,NA,2,NA,2,NA,2,NA
41678,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41679,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,18,14,48,2,NA,2,NA,2,NA,2,NA
41680,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,21,480,2,NA,2,NA,1,40,1,40
41682,2,NA,2,15,8,4,1,36,2,NA,NA,1,13,17,96,2,NA,2,NA,2,NA,2,NA
41683,1,7,2,15,8,1,1,120,2,NA,NA,1,17,9,348,2,NA,2,NA,2,NA,1,2
41685,1,37,NA,8,16,1,1,3,2,NA,NA,1,14,22,4,2,NA,2,NA,1,1,2,NA
41687,1,43,NA,7,22,1,1,4,2,NA,NA,1,5,20,12,2,NA,2,NA,2,NA,2,NA
41688,1,42,NA,4,19,1,1,48,2,NA,NA,1,2,19,180,1,35,1,5,1,20,1,20
41690,1,49,NA,16,1,1,1,96,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41691,1,55,NA,6,17,1,1,72,2,NA,NA,1,9,17,240,2,NA,2,NA,1,20,1,20
41693,1,50,NA,9,22,5,1,228,1,4,NA,2,NA,NA,NA,1,20,1,20,1,20,1,30
41694,1,56,NA,16,15,1,1,84,2,NA,NA,1,8,22,132,1,3,2,NA,2,NA,1,3
41697,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41698,1,40,NA,4,19,1,1,240,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,20
41699,1,40,NA,14,12,1,3,60,2,NA,NA,1,7,16,216,2,NA,2,NA,2,NA,2,NA
41700,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,19,324,1,27,2,NA,2,NA,1,1
41702,1,40,NA,6,1,2,2,156,2,NA,NA,1,6,21,300,2,NA,2,NA,2,NA,2,NA
41704,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,18,13,0,2,NA,2,NA,2,NA,2,NA
41705,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,19,336,1,28,2,NA,2,NA,2,NA
41707,1,60,NA,19,16,1,1,252,1,3,NA,1,22,23,120,2,NA,2,NA,1,20,2,NA
41708,1,35,NA,8,16,1,1,72,2,NA,NA,1,17,16,180,2,NA,2,NA,2,NA,2,NA
41710,1,35,NA,18,16,1,3,60,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41711,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,16,144,2,NA,2,NA,2,NA,2,NA
41713,1,40,NA,18,16,1,1,84,1,1,NA,1,19,20,132,1,11,1,6,1,11,1,15
41715,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,11,17,108,2,NA,2,NA,2,NA,2,NA
41717,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,16,120,2,NA,2,NA,1,3,2,NA
41718,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41719,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41721,1,32,1,4,19,1,1,5,1,8,NA,1,3,19,0,1,10,2,NA,1,10,1,10
41724,1,38,NA,14,17,1,2,5,1,1,NA,1,8,16,48,2,NA,1,0,2,NA,1,0
41725,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,16,12,2,NA,2,NA,2,NA,2,NA
41727,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,15,8,21,2,NA,2,NA,2,NA,1,1
41728,1,10,2,15,12,3,1,12,2,NA,NA,1,15,8,108,2,NA,2,NA,2,NA,2,NA
41729,1,60,NA,2,1,1,1,240,2,NA,NA,2,NA,NA,NA,1,1,2,NA,1,1,1,1
41730,1,40,NA,19,22,1,1,48,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,1,10,1,10
41731,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,5,21,120,2,NA,2,NA,1,1,1,1
41733,1,50,NA,9,22,1,2,48,2,NA,NA,2,NA,NA,NA,1,3,1,3,1,7,2,NA
41735,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,8,384,1,1,2,NA,2,NA,2,NA
41737,1,40,NA,10,16,1,1,72,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41739,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,9,22,48,2,NA,2,NA,1,3,2,NA
41740,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,8,648,2,NA,1,50,2,NA,1,50
41741,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41743,1,60,NA,4,19,1,1,84,2,NA,NA,2,NA,NA,NA,1,14,1,5,2,NA,1,7
41748,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,15,16,84,2,NA,2,NA,2,NA,2,NA
41749,1,46,NA,21,17,4,2,12,1,4,NA,1,10,8,48,1,1,2,NA,2,NA,2,NA
41750,1,40,NA,11,1,5,5,132,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41751,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,17,360,2,NA,2,NA,2,NA,2,NA
41753,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,21,348,2,NA,2,NA,2,NA,2,NA
41754,1,1,1,5,21,1,1,24,2,NA,NA,1,4,19,156,1,13,1,13,1,2,1,2
41755,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,21,480,2,NA,2,NA,2,NA,2,NA
41756,1,40,NA,15,14,2,4,204,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41757,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,8,16,14,2,NA,1,0,2,NA,2,NA
41758,1,45,NA,14,14,1,1,36,2,NA,NA,1,18,13,60,1,3,1,3,1,3,1,2
41759,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,19,240,2,NA,2,NA,2,NA,2,NA
41760,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,17,336,2,NA,2,NA,2,NA,2,NA
41761,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15,17,72,2,NA,1,18,2,NA,2,NA
41762,1,45,NA,13,1,1,1,3,2,NA,NA,1,10,3,48,2,NA,2,NA,2,NA,2,NA
41764,1,50,NA,1,4,2,1,336,2,NA,NA,2,NA,NA,NA,1,1,1,1,2,NA,2,NA
41765,1,45,NA,15,8,3,1,24,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41767,1,32,2,18,13,1,4,4,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41768,1,30,2,15,8,3,1,180,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41770,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41771,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,13,108,NA,NA,NA,NA,NA,NA,NA,NA
41772,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,21,360,2,NA,1,30,2,NA,2,NA
41775,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,18,13,420,2,NA,2,NA,2,NA,2,NA
41776,1,40,NA,6,2,1,1,46,1,1,NA,1,19,16,108,1,9,2,NA,1,9,1,10
41779,1,40,NA,18,13,1,3,8,2,NA,NA,2,NA,NA,NA,2,NA,1,0,2,NA,1,0
41780,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,18,13,240,2,NA,1,15,2,NA,1,1
41782,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,12,180,1,5,2,NA,1,9,1,10
41783,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,99,17,252,NA,NA,NA,NA,NA,NA,NA,NA
41785,1,45,NA,8,2,1,1,24,2,NA,NA,1,5,21,72,1,6,2,NA,2,NA,2,NA
41786,1,50,NA,18,13,1,1,36,1,4,NA,2,NA,NA,NA,2,NA,2,NA,1,5,1,5
41788,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,22,84,2,NA,2,NA,2,NA,2,NA
41791,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,21,504,2,NA,1,42,2,NA,2,NA
41793,1,30,2,14,14,5,1,6,2,NA,NA,1,9,22,48,2,NA,2,NA,1,4,1,5
41794,1,42,NA,16,10,3,1,108,2,NA,NA,1,8,22,12,2,NA,2,NA,2,NA,1,3
41796,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,6,21,324,2,NA,1,27,2,NA,2,NA
41797,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,4,540,2,NA,2,NA,2,NA,2,NA
41798,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41801,1,24,1,14,12,1,2,1,2,NA,NA,1,8,16,12,2,NA,2,NA,2,NA,2,NA
41802,1,40,NA,5,17,1,1,10,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41803,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,9,480,1,1,2,NA,2,NA,1,1
41806,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,7,20,360,1,30,2,NA,2,NA,2,NA
41808,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,17,96,2,NA,2,NA,2,NA,2,NA
41809,1,40,NA,9,22,1,5,12,2,NA,NA,1,6,21,132,1,2,2,NA,1,2,1,11
41810,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,11,120,NA,NA,NA,NA,NA,NA,NA,NA
41811,1,35,NA,15,8,3,1,9,2,NA,NA,1,8,9,132,2,NA,1,11,2,NA,2,NA
41813,1,30,2,4,19,1,1,24,2,NA,NA,2,NA,NA,NA,1,6,2,NA,2,NA,2,NA
41814,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,22,264,NA,NA,NA,NA,NA,NA,NA,NA
41815,1,25,1,8,16,1,4,9,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41818,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41819,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,19,60,1,5,1,5,1,3,1,3
41820,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41821,1,24,2,18,13,1,1,24,1,5,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41822,1,4,2,19,9,1,1,48,2,NA,NA,2,NA,NA,NA,1,0,1,0,2,NA,2,NA
41823,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,8,16,5,2,NA,2,NA,2,NA,2,NA
41825,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,8,408,2,NA,2,NA,2,NA,2,NA
41827,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,1,276,2,NA,2,NA,2,NA,2,NA
41834,1,45,NA,10,16,1,1,120,2,NA,NA,2,NA,NA,NA,1,0,1,0,2,NA,1,0
41838,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,16,11,48,2,NA,2,NA,2,NA,2,NA
