"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd391","ocd392","ocd395","ocq510","ocq520","ocq530","ocq540","ocq550","ocq560","ocq570","ocq580"
50739,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,14,14,0,1,0,1,0,2,NA,1,0
50740,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,11,360,2,NA,2,NA,2,NA,2,NA
50746,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50747,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50748,2,NA,2,16,11,4,1,36,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50750,1,30,2,20,15,1,1,216,2,NA,NA,1,16,17,240,2,NA,2,NA,2,NA,2,NA
50752,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,20,168,1,34,2,NA,1,10,1,19
50753,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,17,2,2,NA,2,NA,2,NA,2,NA
50754,1,24,2,19,15,5,1,60,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50755,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,17,264,2,NA,2,NA,2,NA,2,NA
50757,1,40,NA,18,13,1,4,36,1,8,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50759,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,16,420,NA,NA,NA,NA,NA,NA,NA,NA
50761,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50762,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,20,14,96,2,NA,2,NA,2,NA,1,8
50764,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,17,3,1,1,2,NA,1,0,1,0
50765,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,11,360,2,NA,2,NA,2,NA,2,NA
50766,1,40,NA,21,11,3,5,96,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50767,1,40,NA,5,21,1,3,7,2,NA,NA,2,NA,NA,NA,1,1,2,NA,2,NA,2,NA
50768,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,22,23,360,NA,NA,NA,NA,NA,NA,NA,NA
50769,1,20,2,18,13,1,2,0,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50770,1,6,2,10,17,1,1,96,1,1,NA,2,NA,NA,NA,1,8,2,NA,2,NA,2,NA
50771,1,40,NA,15,6,3,1,132,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50773,1,40,NA,14,14,1,1,60,2,NA,NA,2,NA,NA,NA,1,5,2,NA,2,NA,2,NA
50774,1,40,NA,5,21,1,1,468,2,NA,NA,2,NA,NA,NA,2,NA,1,39,1,39,2,NA
50777,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,18,1,60,2,NA,2,NA,1,1,1,1
50778,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,8,22,156,2,NA,2,NA,2,NA,2,NA
50779,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,22,144,2,NA,2,NA,2,NA,2,NA
50780,1,90,NA,9,22,1,1,192,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,16
50781,1,45,NA,5,21,1,1,324,1,1,NA,2,NA,NA,NA,1,10,1,1,1,5,1,5
50784,1,48,NA,18,13,1,1,156,1,1,NA,2,NA,NA,NA,1,1,2,NA,2,NA,2,NA
50785,1,40,NA,15,14,4,1,96,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50786,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50787,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50788,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,11,16,324,2,NA,2,NA,2,NA,2,NA
50789,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,12,1,24,1,4,2,NA,2,NA,2,NA
50790,1,21,2,17,9,1,5,204,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50792,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,11,420,NA,NA,NA,NA,NA,NA,NA,NA
50793,1,45,NA,7,22,1,3,60,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50794,1,40,NA,16,10,1,5,4,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50798,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50800,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,18,13,36,2,NA,2,NA,2,NA,2,NA
50806,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,19,240,1,7,2,NA,2,NA,2,NA
50807,1,24,1,8,16,1,4,60,2,NA,NA,2,NA,NA,NA,1,5,2,NA,2,NA,2,NA
50809,1,10,2,19,21,5,5,360,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50810,1,40,NA,15,14,4,2,4,2,NA,NA,1,10,4,360,2,NA,2,NA,2,NA,2,NA
50811,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,15,14,48,1,4,2,NA,2,NA,2,NA
50813,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,18,19,180,1,20,2,NA,2,NA,1,15
50814,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,13,7,84,2,NA,2,NA,2,NA,2,NA
50815,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50816,1,40,NA,14,12,1,1,108,1,8,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50819,1,30,2,16,11,1,3,48,1,1,NA,2,NA,NA,NA,2,NA,2,NA,1,1,1,1
50820,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,18,132,1,11,2,NA,2,NA,2,NA
50823,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,18,14,120,2,NA,2,NA,2,NA,2,NA
50826,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50827,2,NA,2,20,15,1,4,132,2,NA,NA,1,20,15,132,2,NA,2,NA,2,NA,2,NA
50830,1,42,NA,13,22,1,1,24,2,NA,NA,1,17,13,48,1,1,2,NA,1,3,2,NA
