"seqn","cbd010","cbq020","cbq030","cbq040","cbq050","cbq060","cbd070","cbd090","cbd110","cbd120","cbd130","cbq140","cbd150","cbd160","cbd170","cbd180","cbq190"
41475,1,1,1,4,1,4,320,40,80,45,0,2,5,7,120,7,7
41476,2,1,1,1,5,3,900,0,0,400,20,1,15,7,90,7,7
41477,2,1,1,1,1,1,400,80,60,40,0,3,20,6,45,21,21
41478,2,2,4,3,5,1,70,0,200,25,15,2,5,4,120,3,3
41479,2,1,1,3,5,3,550,0,0,150,50,3,15,7,60,7,7
41480,2,1,1,4,5,4,500,0,0,0,0,2,15,7,60,7,7
41481,2,3,4,4,5,3,100,10,25,50,999999,3,15,2,30,2,2
41482,2,1,1,1,5,1,1071,160,100,120,171,3,20,7,180,7,7
41483,2,1,3,4,5,1,200,0,0,50,0,3,10,7,1,7,7
41484,2,2,2,5,5,1,300,42,0,0,0,1,30,7,60,7,7
41485,2,3,3,3,5,3,342,25,64,40,30,2,8,7,75,5,5
41486,1,1,1,1,1,1,728,428,0,214,64,1,5,7,60,5,5
41487,2,1,2,4,3,3,50,0,250,150,0,3,5,5,120,666,NA
41488,2,1,1,1,5,1,400,50,0,100,0,3,10,5,90,7,5
41489,2,3,3,2,4,1,150,0,100,171,171,3,10,2,30,3,2
41490,2,2,3,3,2,2,300,50,50,125,25,3,30,5,120,5,4
41491,2,1,1,1,1,1,700,0,0,25,100,1,15,7,90,7,7
41492,2,1,1,4,1,4,400,0,100,0,0,2,20,7,120,21,21
41493,2,1,1,1,5,5,150,0,50,0,0,2,10,6,60,3,3
41494,2,1,2,3,5,3,342,0,0,107,50,2,5,4,60,7,5
41495,2,2,2,1,5,1,800,80,80,100,0,1,10,4,120,8,8
41496,2,3,3,5,5,5,171,42,0,0,0,2,5,7,15,666,NA
41497,2,1,2,4,4,3,450,0,150,200,0,2,5,3,60,2,2
41498,2,1,1,3,5,1,700,120,0,0,120,2,60,7,60,7,7
41499,1,1,1,3,5,1,342,342,42,85,0,1,7,6,60,7,6
41500,2,1,1,1,5,1,400,50,0,0,0,2,15,7,60,2,2
41501,2,1,2,2,5,2,30,0,0,171,5,5,5,1,60,666,NA
41502,2,2,3,3,5,1,250,0,0,50,0,2,15,5,60,5,5
41503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41504,2,2,2,2,5,1,200,75,80,100,80,1,5,7,45,6,6
41505,2,1,1,1,5,1,350,20,40,150,0,2,15,7,60,7,7
41506,2,1,1,1,4,5,400,0,20,125,0,2,15,7,60,7,7
41507,2,1,2,1,4,1,350,50,65,500,120,2,3,3,180,5,2
41508,2,1,2,1,2,1,500,0,0,300,200,3,15,1,60,6,1
41509,2,1,1,3,1,4,300,999999,214,0,70,2,20,7,99999,4,4
41510,2,2,1,1,5,1,100,0,0,40,0,4,30,7,30,7,7
41511,2,2,2,3,3,2,450,0,400,214,0,2,10,1,120,7,7
41512,2,2,2,3,5,4,150,60,50,64,0,1,5,6,45,6,6
41513,2,1,1,2,2,2,450,0,0,300,59,1,20,7,120,2,2
41514,2,1,1,1,1,5,80,8,0,12,8,2,10,7,30,666,NA
41515,2,1,1,3,5,4,200,50,100,50,0,2,60,7,45,5,5
41516,2,1,1,5,5,3,250,999999,0,44,0,4,30,5,120,5,5
41517,2,1,1,1,1,1,400,0,0,200,100,2,5,7,120,7,7
41518,2,1,2,1,5,5,535,85,42,100,40,2,10,0,NA,0,NA
41519,2,2,1,2,3,2,110,15,0,0,0,2,8,7,240,7,7
41520,2,2,1,4,5,5,650,0,0,300,80,4,10,7,90,7,6
41521,1,1,1,4,5,3,200,0,300,100,50,3,10,5,60,5,5
41522,2,1,1,1,1,1,400,20,0,30,0,2,5,3,120,10,10
41523,2,1,1,1,5,1,300,75,80,200,200,4,10,4,90,7,4
41524,1,1,1,4,1,5,800,0,21,0,0,1,15,7,90,7,7
41525,2,2,2,2,5,1,250,50,150,50,20,1,10,4,90,0,NA
41526,1,2,4,2,1,3,150,0,20,50,0,2,45,1,120,666,NA
41527,2,2,2,1,1,2,500,0,0,50,0,2,3,5,60,7,7
41528,2,1,1,2,2,1,500,0,0,20,0,2,15,7,120,7,7
41529,2,1,3,1,5,1,300,55,32,200,50,2,20,0,NA,2,2
41530,2,1,1,3,1,1,1178,214,250,175,0,2,10,6,60,5,5
41531,2,1,1,3,5,2,350,0,0,110,0,3,30,7,90,0,NA
41532,2,2,2,3,5,4,300,0,200,150,0,4,20,7,60,7,7
41533,2,1,1,3,5,4,350,30,0,0,20,2,10,7,90,1,1
41534,2,1,2,3,5,2,342,0,0,40,0,2,10,7,180,666,NA
41535,2,3,1,3,5,4,100,0,0,0,20,3,10,4,60,4,3
41536,2,2,2,1,5,2,350,100,100,80,40,3,20,7,60,18,18
41537,2,2,3,1,5,3,857,428,40,100,0,2,10,7,180,6,6
41538,NA,4,4,3,5,3,20,0,0,300,100,4,8,0,NA,666,NA
41539,2,1,4,3,1,4,200,40,0,50,0,2,10,6,45,666,NA
41540,2,1,1,1,5,1,600,0,200,40,22,2,20,0,NA,7,7
41541,2,1,1,1,1,1,428,128,0,857,0,3,30,5,60,0,NA
41542,1,1,2,4,5,4,257,42,150,0,0,1,15,7,120,7,7
41543,2,1,1,3,1,1,300,0,0,200,0,1,8,7,120,7,7
41544,2,1,1,3,5,1,1285,0,0,999999,0,1,5,4,60,3,3
41545,2,1,1,1,5,3,300,0,0,100,0,2,10,7,120,0,NA
41546,1,1,1,3,1,3,385,42,100,200,25,2,5,6,45,14,13
41547,2,1,1,1,5,1,1071,321,50,60,0,2,5,7,60,10,10
41548,2,2,1,2,5,1,300,0,200,200,0,2,15,2,60,2,2
41549,2,2,3,3,5,1,200,0,0,100,0,2,10,7,60,666,NA
41550,2,1,1,2,5,5,400,0,300,50,0,2,15,7,60,1,1
41551,2,1,2,1,5,1,300,0,35,50,200,2,300,4,60,8,8
41552,NA,77,77,77,77,77,777777,777777,777777,777777,777777,77,77777,777,77777,666,NA
41553,2,1,1,3,5,1,700,50,0,100,0,2,5,5,120,0,NA
41554,2,1,1,2,1,4,325,0,250,400,0,3,12,4,120,4,4
41555,1,1,1,3,5,3,140,0,0,0,5,3,20,3,120,666,NA
41556,2,1,1,1,5,1,2400,75,85,60,50,1,1,7,90,7,7
41557,NA,2,1,1,5,4,150,20,0,10,0,4,10,7,120,666,NA
41558,2,2,1,3,5,1,45,15,0,64,0,2,10,4,60,666,NA
41559,1,1,2,1,1,1,500,100,50,100,50,3,10,6,60,14,14
41560,2,1,1,1,5,4,400,0,0,111,0,2,10,6,30,6,6
41561,1,1,1,4,1,3,428,0,85,25,0,2,15,7,180,14,14
41562,2,3,3,2,5,3,500,150,0,100,80,1,10,1,120,666,NA
41563,2,1,1,1,5,2,400,20,200,235,10,2,15,5,90,3,3
41564,2,3,1,1,5,1,0,0,700,20,0,1,5,0,NA,0,NA
41565,2,1,1,3,5,5,642,300,10,0,0,1,3,7,30,7,7
41566,2,1,2,3,5,3,450,50,0,40,0,4,30,7,60,21,19
41567,2,1,1,3,5,5,428,0,214,0,0,2,10,7,90,14,14
41568,2,3,3,3,3,2,250,0,0,0,0,2,20,7,120,7,7
41569,2,1,3,5,5,3,300,0,0,10,0,2,20,7,60,7,7
41570,2,1,1,4,4,1,70,30,0,0,0,4,5,7,90,666,NA
41571,1,1,1,1,5,1,420,0,60,100,100,1,5,5,30,5,5
41572,2,1,1,1,5,3,400,65,30,150,50,1,5,4,180,4,4
41573,1,2,3,4,5,5,470,50,200,100,0,4,15,7,240,21,21
41574,1,1,1,2,5,2,250,75,0,250,0,3,10,2,90,3,3
41575,1,1,1,1,5,3,520,100,0,200,80,1,5,6,60,7,7
41576,2,1,1,3,5,1,160,40,0,40,0,2,5,3,180,7,3
41577,1,1,2,2,5,1,100,0,450,140,25,2,20,5,90,6,5
41578,2,1,1,1,1,5,642,128,0,257,0,4,120,7,120,7,7
41579,2,1,1,4,1,3,428,85,0,40,0,2,5,6,60,6,6
41580,2,2,2,3,5,4,857,192,0,0,0,1,15,7,120,7,7
41581,2,3,1,3,5,2,100,0,40,40,64,4,10,3,120,3,3
41582,2,1,3,3,5,5,1285,0,0,0,0,2,15,7,120,7,7
41583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41584,2,2,3,2,5,1,60,0,10,20,5,3,5,7,1,3,3
41585,2,2,2,4,1,4,428,0,200,0,0,2,5,7,120,7,7
41586,1,1,1,4,1,4,300,0,0,30,20,2,15,4,60,6,4
41587,2,1,1,3,5,4,200,0,0,30,0,2,20,7,60,7,7
41588,2,2,2,3,5,1,857,171,0,80,0,2,30,6,60,7,7
41589,2,1,1,3,1,5,300,50,0,10,0,2,5,7,120,0,NA
41590,2,1,1,3,5,5,240,70,0,50,20,2,10,7,60,7,7
41591,2,2,1,1,5,1,300,0,0,150,0,2,5,2,120,6,4
41592,2,4,4,3,5,1,214,0,0,50,20,2,5,7,45,7,7
41593,2,1,1,1,5,1,500,100,0,0,60,3,10,2,60,2,2
41594,1,1,2,1,1,4,450,50,0,171,0,2,2,6,60,666,NA
41595,2,4,4,1,4,3,150,20,0,150,0,2,15,0,NA,666,NA
41596,2,1,1,3,3,5,800,0,200,200,0,2,10,7,180,14,14
41597,2,2,2,3,5,4,400,171,0,0,0,2,10,7,60,3,3
41598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41599,1,1,2,3,3,3,642,0,0,200,0,2,10,4,120,4,4
41600,1,2,1,2,1,1,300,0,300,75,75,4,10,5,60,5,5
41601,2,1,3,4,5,3,800,100,0,250,20,3,10,0,NA,1,0
41602,2,2,3,1,5,1,300,100,0,37,25,3,5,7,40,2,2
41603,2,1,2,1,5,5,400,0,200,85,10,1,10,7,120,7,7
41604,2,1,1,1,5,5,300,50,0,100,30,2,20,7,120,7,7
41605,2,1,1,3,2,2,600,0,110,0,0,2,15,7,90,7,7
41606,1,1,1,4,3,5,642,128,0,85,0,2,5,7,40,7,7
41607,2,1,1,1,1,2,150,64,0,214,15,2,2,7,60,4,4
41608,2,3,3,1,1,1,600,100,0,428,0,2,5,2,60,1,1
41609,2,1,1,2,5,2,300,0,0,0,35,3,7,7,60,1,1
41610,2,1,1,1,1,1,300,0,0,300,0,2,15,0,NA,2,2
41611,2,4,3,5,1,3,150,999999,0,0,0,4,30,1,60,0,NA
41612,2,2,1,2,5,1,30,0,300,100,0,2,20,1,30,21,10
41613,1,1,1,1,5,5,200,50,300,0,50,1,NA,5,60,15,15
41614,2,1,1,1,4,1,700,150,100,200,100,2,5,4,60,4,4
41615,2,4,3,2,5,2,350,100,60,120,60,2,5,5,60,5,5
41616,1,1,1,4,5,5,70,0,0,0,0,4,15,1,60,666,NA
41617,NA,1,2,5,1,1,175,30,25,0,0,2,5,5,20,666,NA
41618,2,2,1,1,1,1,500,30,150,300,0,2,10,4,10,4,4
41619,2,1,1,1,1,1,600,0,100,100,100,2,15,7,60,7,5
41620,2,1,1,1,5,1,800,171,50,100,0,2,10,5,60,16,13
41621,1,3,3,3,5,2,80,25,0,15,0,4,10,0,NA,7,0
41622,2,1,1,1,1,2,500,0,50,100,0,4,15,7,90,0,NA
41623,2,1,1,3,1,4,150,25,140,20,35,3,10,7,90,3,3
41624,2,1,1,1,5,1,300,150,0,0,0,3,10,7,60,7,7
41625,2,2,2,2,5,2,140,0,0,0,45,4,15,7,120,5,5
41626,2,1,4,1,4,1,600,100,150,600,0,1,2,4,120,2,2
41627,2,1,2,2,5,4,350,999999,100,50,0,2,15,7,60,7,7
41628,2,1,1,3,5,2,150,0,400,5,0,2,5,7,30,7,7
41629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41630,2,1,1,1,1,2,100,0,500,125,0,2,5,6,60,15,15
41631,2,1,1,4,5,2,435,0,200,40,0,3,45,7,120,7,7
41632,2,1,2,2,5,1,642,0,0,50,171,2,7,4,120,6,4
41633,2,2,3,2,3,2,160,50,90,40,0,3,20,3,180,0,NA
41634,2,1,1,2,3,1,280,0,257,50,50,2,10,6,60,7,6
41635,2,2,2,4,5,4,257,0,0,50,0,2,5,3,120,2,2
41636,2,1,1,1,5,1,500,0,0,0,0,2,10,7,120,7,7
41637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41638,2,1,1,3,3,1,400,100,100,200,50,3,20,5,120,7,5
41639,2,1,1,5,1,1,200,0,0,200,0,3,15,4,35,4,4
41640,2,1,3,3,1,3,100,0,15,15,0,4,5,7,45,2,2
41641,2,2,1,3,3,4,250,25,0,0,10,2,5,7,90,0,NA
