"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd392","ocd395"
31130,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,4
31131,1,45,NA,10,3,1,1,324,2,NA,NA,2,NA,NA
31132,1,15,2,8,16,1,1,96,2,NA,NA,1,1,408
31133,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0
31134,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,480
31136,1,40,NA,13,3,1,1,108,2,NA,NA,2,NA,NA
31139,1,40,NA,14,17,1,1,12,2,NA,NA,1,17,5
31141,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,9,12
31143,1,20,2,8,10,1,1,24,2,NA,NA,2,NA,NA
31144,1,40,NA,13,2,2,4,3,2,NA,NA,1,17,18
31148,1,17,2,18,13,1,2,1,2,NA,NA,2,NA,NA
31149,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,372
31150,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,480
31151,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,13,360
31152,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,13,96
31153,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,21,120
31154,1,60,NA,8,16,1,1,300,2,NA,NA,2,NA,NA
31155,1,10,1,15,8,3,1,24,2,NA,NA,2,NA,NA
31156,1,45,NA,16,1,1,1,192,2,NA,NA,2,NA,NA
31158,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,360
31160,1,40,NA,17,8,1,1,60,2,NA,NA,2,NA,NA
31162,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,372
31163,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,14,2
31164,1,62,NA,6,22,1,1,372,2,NA,NA,2,NA,NA
31167,1,81,NA,9,22,1,5,84,2,NA,NA,2,NA,NA
31172,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,60
31175,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,20,480
31177,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,8
31179,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,20,504
31181,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,13,1
31183,2,NA,1,15,8,3,1,60,2,NA,NA,2,NA,NA
31186,1,56,NA,6,21,1,1,15,2,NA,NA,1,21,72
31187,1,40,NA,13,5,1,1,36,2,NA,NA,2,NA,NA
31190,1,40,NA,13,19,6,5,480,2,NA,NA,2,NA,NA
31191,1,40,NA,12,1,1,1,12,2,NA,NA,2,NA,NA
31192,1,59,NA,21,12,4,1,216,2,NA,NA,2,NA,NA
31193,1,40,NA,8,17,1,1,84,2,NA,NA,2,NA,NA
31194,1,25,1,20,14,5,1,120,2,NA,NA,2,NA,NA
31195,1,10,2,11,16,1,1,552,2,NA,NA,2,NA,NA
31199,1,40,NA,21,18,3,1,1,2,NA,NA,1,15,36
31201,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31203,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,156
31205,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,16,96
31206,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,15,3
31207,1,10,2,15,8,3,2,7,2,NA,NA,1,16,36
31208,1,50,NA,16,10,1,1,18,2,NA,NA,2,NA,NA
