"seqn","fsd032a","fsd032b","fsd032c","fsd032d","fsd032e","fsd032f","fsd041","fsd052","fsd061","fsd071","fsd081","fsd092","fsd102","fsd111","fsd122","fsd132","fsd141","fsd146","fsdhh","fsdad","fsdch","fsd151","fsd401","fsd411","fsd421","fsd431","fsq440","fsd451","fsq170","fsd170n","fsd180","fsd190","fsd200","fsq210","fsq220","fsq162","fsd650","fsd660","fsd670"
31127,2,2,2,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,1,1,2,NA,NA,NA,186,1,1,1,11
31128,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,6,1,NA,NA,12,NA,2,NA,NA,NA
31129,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31130,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31131,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31132,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31133,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31134,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31135,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31136,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31137,1,2,2,1,2,3,1,3,2,1,2,2,NA,1,2,NA,2,2,4,3,3,1,3,3,3,3,NA,2,1,1,2,NA,NA,520,NA,1,NA,NA,NA
31138,3,3,3,2,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,1,1,1,36
31139,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31140,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31141,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31142,1,2,2,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,1,5,1,12,1,258,NA,2,NA,NA,NA
31143,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31144,1,2,3,2,2,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,3,3,3,2,NA,1,4,2,NA,NA,0,NA,2,NA,NA,NA
